1::1,2::2,3::3,4::4,5::5,6::6,7::7,8::8
,,,,,,,
Bildname,IP-Bildgröße ändern-02, , , , , , 
T = 0,Z = 0, , , , , , 
 , , , , , , , 
Nr.,Werkzeug,Position1[nm],Position2[nm],ΔP2-P1[nm],ΔCh1-T1,ΔT PMT-T1,ΔCh2-T2
 , , , , , , , 
Abstand[nm],Ch1-T1,T PMT-T1,Ch2-T2, , , , 
0.000,2.000,0.000,0.000, , , , 
240.916,1.000,0.000,1.000, , , , 
481.832,1.000,0.000,1.000, , , , 
722.748,0.000,0.000,1.000, , , , 
963.664,1.000,0.000,1.000, , , , 
1204.580,1.000,0.000,1.000, , , , 
1445.496,2.000,0.000,1.000, , , , 
1686.412,3.000,0.000,0.000, , , , 
1927.329,2.000,0.000,1.000, , , , 
2168.245,2.000,0.000,0.000, , , , 
2409.161,2.000,0.000,0.000, , , , 
2650.077,0.000,0.000,0.000, , , , 
2890.993,2.000,0.000,1.000, , , , 
3131.909,2.000,0.000,0.000, , , , 
3372.825,0.000,0.000,1.000, , , , 
3613.741,0.000,0.000,0.000, , , , 
3854.657,1.000,0.000,0.000, , , , 
4095.573,1.000,0.000,1.000, , , , 
4336.489,1.000,0.000,1.000, , , , 
4577.405,2.000,0.000,1.000, , , , 
4818.321,1.000,0.000,1.000, , , , 
5059.237,1.000,0.000,1.000, , , , 
5300.153,0.000,0.000,0.000, , , , 
5541.070,0.000,0.000,0.000, , , , 
5781.986,1.000,0.000,1.000, , , , 
6022.902,1.000,0.000,1.000, , , , 
6263.818,1.000,0.000,1.000, , , , 
6504.734,1.000,0.000,1.000, , , , 
6745.650,2.000,0.000,0.000, , , , 
6986.566,2.000,0.000,1.000, , , , 
7227.482,2.000,0.000,0.000, , , , 
7468.398,2.000,0.000,1.000, , , , 
7709.314,0.000,0.000,1.000, , , , 
7950.230,2.000,0.000,1.000, , , , 
8191.146,1.000,0.000,0.000, , , , 
8432.062,1.000,0.000,1.000, , , , 
8672.978,0.000,0.000,1.000, , , , 
8913.894,0.000,0.000,0.000, , , , 
9154.811,0.000,0.000,1.000, , , , 
9395.727,1.000,0.000,1.000, , , , 
9636.643,1.000,0.000,2.000, , , , 
9877.559,1.000,0.000,1.000, , , , 
10118.475,0.000,0.000,1.000, , , , 
10359.391,0.000,0.000,0.000, , , , 
10600.307,1.000,0.000,0.000, , , , 
10841.223,0.000,0.000,1.000, , , , 
11082.139,2.000,0.000,1.000, , , , 
11323.055,2.000,0.000,1.000, , , , 
11563.971,1.000,0.000,2.000, , , , 
11804.887,0.000,0.000,1.000, , , , 
12045.803,0.000,0.000,0.000, , , , 
12286.719,0.000,0.000,0.000, , , , 
12527.636,1.000,0.000,1.000, , , , 
12768.552,0.000,0.000,1.000, , , , 
13009.468,0.000,0.000,1.000, , , , 
13250.384,1.000,0.000,1.000, , , , 
13491.300,1.000,0.000,1.000, , , , 
13732.216,1.000,0.000,1.000, , , , 
13973.132,0.000,0.000,1.000, , , , 
14214.048,1.000,0.000,1.000, , , , 
14454.964,2.000,0.000,1.000, , , , 
14695.880,1.000,0.000,1.000, , , , 
14936.796,1.000,0.000,1.000, , , , 
15177.712,2.000,0.000,0.000, , , , 
15418.628,1.000,0.000,1.000, , , , 
15659.544,1.000,0.000,1.000, , , , 
15900.460,2.000,0.000,2.000, , , , 
16141.377,3.000,0.000,1.000, , , , 
16382.293,1.000,0.000,1.000, , , , 
16623.209,2.000,0.000,2.000, , , , 
16864.125,1.000,0.000,1.000, , , , 
17105.041,0.000,0.000,2.000, , , , 
17345.957,2.000,0.000,2.000, , , , 
17586.873,2.000,0.000,2.000, , , , 
17827.789,2.000,0.000,2.000, , , , 
18068.705,0.000,0.000,1.000, , , , 
18309.621,1.000,0.000,1.000, , , , 
18550.537,1.000,0.000,4.000, , , , 
18791.453,3.000,0.000,5.000, , , , 
19032.369,2.000,0.000,4.000, , , , 
19273.285,0.000,0.000,3.000, , , , 
19514.201,0.000,0.000,5.000, , , , 
19755.118,1.000,0.000,6.000, , , , 
19996.034,4.000,0.000,5.000, , , , 
20236.950,0.000,0.000,6.000, , , , 
20477.866,0.000,0.000,5.000, , , , 
20718.782,1.000,0.000,7.000, , , , 
20959.698,3.000,0.000,6.000, , , , 
21200.614,2.000,0.000,7.000, , , , 
21441.530,0.000,0.000,7.000, , , , 
21682.446,1.000,0.000,10.000, , , , 
21923.362,2.000,0.000,13.000, , , , 
22164.278,1.000,0.000,16.000, , , , 
22405.194,1.000,0.000,13.000, , , , 
22646.110,3.000,0.000,18.000, , , , 
22887.026,5.000,0.000,20.000, , , , 
23127.942,0.000,0.000,22.000, , , , 
23368.859,2.000,0.000,23.000, , , , 
23609.775,2.000,0.000,30.000, , , , 
23850.691,1.000,0.000,37.000, , , , 
24091.607,3.000,0.000,42.000, , , , 
24332.523,2.000,0.000,46.000, , , , 
24573.439,3.000,0.000,50.000, , , , 
24814.355,1.000,0.000,67.000, , , , 
25055.271,4.000,0.000,65.000, , , , 
25296.187,4.000,0.000,79.000, , , , 
25537.103,12.000,0.000,87.000, , , , 
25778.019,21.000,0.000,110.000, , , , 
26018.935,19.000,0.000,124.000, , , , 
26259.851,20.000,0.000,149.000, , , , 
26500.767,27.000,0.000,173.000, , , , 
26741.683,34.000,0.000,196.000, , , , 
26982.600,41.000,0.000,224.000, , , , 
27223.516,51.000,0.000,244.000, , , , 
27464.432,61.000,0.000,249.000, , , , 
27705.348,63.000,0.000,252.000, , , , 
27946.264,74.000,0.000,255.000, , , , 
28187.180,87.000,0.000,255.000, , , , 
28428.096,95.000,0.000,255.000, , , , 
28669.012,93.000,0.000,255.000, , , , 
28909.928,98.000,0.000,254.000, , , , 
29150.844,117.000,0.000,246.000, , , , 
29391.760,127.000,0.000,230.000, , , , 
29632.676,148.000,0.000,221.000, , , , 
29873.592,178.000,0.000,231.000, , , , 
30114.508,159.000,0.000,239.000, , , , 
30355.425,148.000,0.000,236.000, , , , 
30596.341,148.000,0.000,237.000, , , , 
30837.257,147.000,0.000,240.000, , , , 
31078.173,124.000,0.000,232.000, , , , 
31319.089,144.000,0.000,236.000, , , , 
31560.005,183.000,0.000,247.000, , , , 
31800.921,180.000,0.000,253.000, , , , 
32041.837,171.000,0.000,254.000, , , , 
32282.753,170.000,0.000,248.000, , , , 
32523.669,150.000,0.000,229.000, , , , 
32764.585,166.000,0.000,219.000, , , , 
33005.501,168.000,0.000,207.000, , , , 
33246.417,176.000,0.000,187.000, , , , 
33487.333,202.000,0.000,174.000, , , , 
33728.249,204.000,0.000,166.000, , , , 
33969.166,224.000,0.000,163.000, , , , 
34210.082,194.000,0.000,161.000, , , , 
34450.998,143.000,0.000,155.000, , , , 
34691.914,103.000,0.000,140.000, , , , 
34932.830,89.000,0.000,131.000, , , , 
35173.746,73.000,0.000,125.000, , , , 
35414.662,68.000,0.000,108.000, , , , 
35655.578,63.000,0.000,106.000, , , , 
35896.494,71.000,0.000,106.000, , , , 
36137.410,76.000,0.000,95.000, , , , 
36378.326,61.000,0.000,98.000, , , , 
36619.242,64.000,0.000,107.000, , , , 
36860.158,61.000,0.000,92.000, , , , 
37101.074,65.000,0.000,86.000, , , , 
37341.990,70.000,0.000,86.000, , , , 
37582.907,63.000,0.000,79.000, , , , 
37823.823,55.000,0.000,83.000, , , , 
38064.739,47.000,0.000,92.000, , , , 
38305.655,41.000,0.000,82.000, , , , 
38546.571,27.000,0.000,67.000, , , , 
38787.487,27.000,0.000,51.000, , , , 
39028.403,18.000,0.000,46.000, , , , 
39269.319,17.000,0.000,44.000, , , , 
39510.235,19.000,0.000,44.000, , , , 
39751.151,19.000,0.000,49.000, , , , 
39992.067,36.000,0.000,46.000, , , , 
40232.983,51.000,0.000,51.000, , , , 
40473.899,64.000,0.000,53.000, , , , 
40714.815,68.000,0.000,57.000, , , , 
40955.731,73.000,0.000,69.000, , , , 
41196.648,76.000,0.000,75.000, , , , 
41437.564,77.000,0.000,65.000, , , , 
41678.480,67.000,0.000,71.000, , , , 
41919.396,69.000,0.000,73.000, , , , 
42160.312,74.000,0.000,69.000, , , , 
42401.228,77.000,0.000,70.000, , , , 
42642.144,70.000,0.000,62.000, , , , 
42883.060,53.000,0.000,66.000, , , , 
43123.976,53.000,0.000,69.000, , , , 
43364.892,44.000,0.000,64.000, , , , 
43605.808,44.000,0.000,63.000, , , , 
43846.724,53.000,0.000,71.000, , , , 
44087.640,47.000,0.000,66.000, , , , 
44328.556,54.000,0.000,68.000, , , , 
44569.472,49.000,0.000,69.000, , , , 
44810.389,49.000,0.000,72.000, , , , 
45051.305,51.000,0.000,74.000, , , , 
45292.221,51.000,0.000,76.000, , , , 
45533.137,51.000,0.000,82.000, , , , 
45774.053,49.000,0.000,82.000, , , , 
46014.969,64.000,0.000,84.000, , , , 
46255.885,64.000,0.000,90.000, , , , 
46496.801,75.000,0.000,90.000, , , , 
46737.717,79.000,0.000,100.000, , , , 
46978.633,71.000,0.000,105.000, , , , 
47219.549,71.000,0.000,95.000, , , , 
47460.465,77.000,0.000,107.000, , , , 
47701.381,83.000,0.000,113.000, , , , 
47942.297,86.000,0.000,109.000, , , , 
48183.214,70.000,0.000,103.000, , , , 
48424.130,76.000,0.000,94.000, , , , 
48665.046,47.000,0.000,77.000, , , , 
48905.962,32.000,0.000,69.000, , , , 
49146.878,24.000,0.000,60.000, , , , 
49387.794,26.000,0.000,42.000, , , , 
49628.710,26.000,0.000,41.000, , , , 
49869.626,28.000,0.000,37.000, , , , 
50110.542,22.000,0.000,31.000, , , , 
50351.458,24.000,0.000,29.000, , , , 
50592.374,32.000,0.000,32.000, , , , 
50833.290,32.000,0.000,28.000, , , , 
51074.206,25.000,0.000,26.000, , , , 
51315.122,39.000,0.000,20.000, , , , 
51556.038,40.000,0.000,19.000, , , , 
51796.955,41.000,0.000,21.000, , , , 
52037.871,37.000,0.000,18.000, , , , 
52278.787,27.000,0.000,18.000, , , , 
52519.703,41.000,0.000,19.000, , , , 
52760.619,54.000,0.000,15.000, , , , 
53001.535,56.000,0.000,13.000, , , , 
53242.451,71.000,0.000,18.000, , , , 
53483.367,79.000,0.000,15.000, , , , 
53724.283,72.000,0.000,13.000, , , , 
53965.199,74.000,0.000,13.000, , , , 
54206.115,88.000,0.000,13.000, , , , 
54447.031,98.000,0.000,14.000, , , , 
54687.947,121.000,0.000,15.000, , , , 
54928.863,137.000,0.000,12.000, , , , 
55169.779,136.000,0.000,15.000, , , , 
55410.696,139.000,0.000,16.000, , , , 
55651.612,149.000,0.000,14.000, , , , 
55892.528,147.000,0.000,11.000, , , , 
56133.444,136.000,0.000,14.000, , , , 
56374.360,139.000,0.000,16.000, , , , 
56615.276,138.000,0.000,13.000, , , , 
56856.192,138.000,0.000,19.000, , , , 
57097.108,164.000,0.000,19.000, , , , 
57338.024,145.000,0.000,21.000, , , , 
57578.940,166.000,0.000,21.000, , , , 
57819.856,164.000,0.000,22.000, , , , 
58060.772,162.000,0.000,20.000, , , , 
58301.688,186.000,0.000,19.000, , , , 
58542.604,226.000,0.000,19.000, , , , 
58783.520,215.000,0.000,21.000, , , , 
59024.437,188.000,0.000,24.000, , , , 
59265.353,141.000,0.000,23.000, , , , 
59506.269,127.000,0.000,23.000, , , , 
59747.185,96.000,0.000,23.000, , , , 
59988.101,86.000,0.000,26.000, , , , 
60229.017,74.000,0.000,26.000, , , , 
60469.933,66.000,0.000,27.000, , , , 
60710.849,45.000,0.000,34.000, , , , 
60951.765,35.000,0.000,42.000, , , , 
61192.681,41.000,0.000,50.000, , , , 
61433.597,63.000,0.000,68.000, , , , 
61674.513,87.000,0.000,93.000, , , , 
61915.429,121.000,0.000,102.000, , , , 
62156.345,141.000,0.000,94.000, , , , 
62397.261,182.000,0.000,90.000, , , , 
62638.178,190.000,0.000,88.000, , , , 
62879.094,186.000,0.000,74.000, , , , 
63120.010,210.000,0.000,74.000, , , , 
63360.926,197.000,0.000,82.000, , , , 
63601.842,210.000,0.000,87.000, , , , 
63842.758,211.000,0.000,100.000, , , , 
64083.674,206.000,0.000,118.000, , , , 
64324.590,207.000,0.000,114.000, , , , 
64565.506,212.000,0.000,105.000, , , , 
64806.422,240.000,0.000,100.000, , , , 
65047.338,236.000,0.000,92.000, , , , 
65288.254,234.000,0.000,83.000, , , , 
65529.170,244.000,0.000,80.000, , , , 
65770.086,218.000,0.000,79.000, , , , 
66011.003,208.000,0.000,71.000, , , , 
66251.919,200.000,0.000,65.000, , , , 
66492.835,154.000,0.000,52.000, , , , 
66733.751,116.000,0.000,50.000, , , , 
66974.667,78.000,0.000,48.000, , , , 
67215.583,55.000,0.000,44.000, , , , 
67456.499,49.000,0.000,31.000, , , , 
67697.415,33.000,0.000,27.000, , , , 
67938.331,39.000,0.000,27.000, , , , 
68179.247,34.000,0.000,28.000, , , , 
68420.163,22.000,0.000,27.000, , , , 
68661.079,17.000,0.000,25.000, , , , 
68901.995,21.000,0.000,21.000, , , , 
69142.911,30.000,0.000,22.000, , , , 
69383.827,38.000,0.000,19.000, , , , 
69624.744,59.000,0.000,22.000, , , , 
69865.660,70.000,0.000,18.000, , , , 
70106.576,76.000,0.000,17.000, , , , 
70347.492,91.000,0.000,16.000, , , , 
70588.408,99.000,0.000,13.000, , , , 
70829.324,89.000,0.000,14.000, , , , 
71070.240,70.000,0.000,14.000, , , , 
71311.156,67.000,0.000,12.000, , , , 
71552.072,40.000,0.000,9.000, , , , 
71792.988,20.000,0.000,7.000, , , , 
72033.904,20.000,0.000,8.000, , , , 
72274.820,16.000,0.000,7.000, , , , 
72515.736,14.000,0.000,6.000, , , , 
72756.652,9.000,0.000,6.000, , , , 
72997.568,9.000,0.000,7.000, , , , 
73238.485,15.000,0.000,6.000, , , , 
73479.401,9.000,0.000,7.000, , , , 
73720.317,7.000,0.000,6.000, , , , 
73961.233,7.000,0.000,6.000, , , , 
74202.149,8.000,0.000,6.000, , , , 
74443.065,8.000,0.000,6.000, , , , 
74683.981,9.000,0.000,4.000, , , , 
74924.897,8.000,0.000,6.000, , , , 
75165.813,11.000,0.000,5.000, , , , 
75406.729,11.000,0.000,6.000, , , , 
75647.645,12.000,0.000,6.000, , , , 
75888.561,20.000,0.000,7.000, , , , 
76129.477,27.000,0.000,11.000, , , , 
76370.393,42.000,0.000,9.000, , , , 
76611.309,57.000,0.000,10.000, , , , 
76852.226,54.000,0.000,12.000, , , , 
77093.142,71.000,0.000,15.000, , , , 
77334.058,82.000,0.000,17.000, , , , 
77574.974,105.000,0.000,16.000, , , , 
77815.890,94.000,0.000,21.000, , , , 
78056.806,76.000,0.000,22.000, , , , 
78297.722,52.000,0.000,23.000, , , , 
78538.638,53.000,0.000,26.000, , , , 
78779.554,87.000,0.000,33.000, , , , 
79020.470,162.000,0.000,39.000, , , , 
79261.386,241.000,0.000,39.000, , , , 
