1::1,2::2,3::3,4::4,5::5,6::6,7::7,8::8
,,,,,,,
Bildname,IP-Bildgröße ändern-02, , , , , , 
T = 0,Z = 0, , , , , , 
 , , , , , , , 
Nr.,Werkzeug,Position1[nm],Position2[nm],ΔP2-P1[nm],ΔCh1-T1,ΔT PMT-T1,ΔCh2-T2
 , , , , , , , 
Abstand[nm],Ch1-T1,T PMT-T1,Ch2-T2, , , , 
0.000,0.000,0.000,0.000, , , , 
240.916,0.000,0.000,0.000, , , , 
481.832,1.000,0.000,0.000, , , , 
722.748,0.000,0.000,0.000, , , , 
963.664,0.000,0.000,1.000, , , , 
1204.580,0.000,0.000,1.000, , , , 
1445.496,0.000,0.000,0.000, , , , 
1686.412,0.000,0.000,0.000, , , , 
1927.329,0.000,0.000,0.000, , , , 
2168.245,0.000,0.000,0.000, , , , 
2409.161,1.000,0.000,0.000, , , , 
2650.077,0.000,0.000,1.000, , , , 
2890.993,0.000,0.000,1.000, , , , 
3131.909,1.000,0.000,0.000, , , , 
3372.825,1.000,0.000,1.000, , , , 
3613.741,1.000,0.000,1.000, , , , 
3854.657,1.000,0.000,1.000, , , , 
4095.573,0.000,0.000,0.000, , , , 
4336.489,1.000,0.000,0.000, , , , 
4577.405,0.000,0.000,0.000, , , , 
4818.321,1.000,0.000,0.000, , , , 
5059.237,0.000,0.000,1.000, , , , 
5300.153,2.000,0.000,0.000, , , , 
5541.070,3.000,0.000,1.000, , , , 
5781.986,0.000,0.000,0.000, , , , 
6022.902,2.000,0.000,1.000, , , , 
6263.818,2.000,0.000,1.000, , , , 
6504.734,0.000,0.000,1.000, , , , 
6745.650,0.000,0.000,0.000, , , , 
6986.566,0.000,0.000,0.000, , , , 
7227.482,3.000,0.000,1.000, , , , 
7468.398,4.000,0.000,1.000, , , , 
7709.314,0.000,0.000,1.000, , , , 
7950.230,0.000,0.000,0.000, , , , 
8191.146,0.000,0.000,0.000, , , , 
8432.062,2.000,0.000,0.000, , , , 
8672.978,0.000,0.000,0.000, , , , 
8913.894,1.000,0.000,1.000, , , , 
9154.811,0.000,0.000,1.000, , , , 
9395.727,0.000,0.000,2.000, , , , 
9636.643,0.000,0.000,0.000, , , , 
9877.559,0.000,0.000,1.000, , , , 
10118.475,2.000,0.000,1.000, , , , 
10359.391,0.000,0.000,1.000, , , , 
10600.307,1.000,0.000,0.000, , , , 
10841.223,2.000,0.000,0.000, , , , 
11082.139,0.000,0.000,0.000, , , , 
11323.055,1.000,0.000,0.000, , , , 
11563.971,2.000,0.000,1.000, , , , 
11804.887,2.000,0.000,1.000, , , , 
12045.803,0.000,0.000,1.000, , , , 
12286.719,0.000,0.000,0.000, , , , 
12527.636,0.000,0.000,0.000, , , , 
12768.552,0.000,0.000,0.000, , , , 
13009.468,1.000,0.000,0.000, , , , 
13250.384,0.000,0.000,1.000, , , , 
13491.300,0.000,0.000,0.000, , , , 
13732.216,0.000,0.000,1.000, , , , 
13973.132,0.000,0.000,1.000, , , , 
14214.048,1.000,0.000,0.000, , , , 
14454.964,1.000,0.000,0.000, , , , 
14695.880,0.000,0.000,2.000, , , , 
14936.796,1.000,0.000,0.000, , , , 
15177.712,1.000,0.000,0.000, , , , 
15418.628,1.000,0.000,1.000, , , , 
15659.544,1.000,0.000,1.000, , , , 
15900.460,2.000,0.000,1.000, , , , 
16141.377,3.000,0.000,1.000, , , , 
16382.293,3.000,0.000,1.000, , , , 
16623.209,3.000,0.000,2.000, , , , 
16864.125,1.000,0.000,1.000, , , , 
17105.041,2.000,0.000,1.000, , , , 
17345.957,3.000,0.000,1.000, , , , 
17586.873,1.000,0.000,1.000, , , , 
17827.789,3.000,0.000,0.000, , , , 
18068.705,1.000,0.000,1.000, , , , 
18309.621,0.000,0.000,0.000, , , , 
18550.537,0.000,0.000,0.000, , , , 
18791.453,4.000,0.000,1.000, , , , 
19032.369,2.000,0.000,1.000, , , , 
19273.285,1.000,0.000,1.000, , , , 
19514.201,1.000,0.000,0.000, , , , 
19755.118,0.000,0.000,1.000, , , , 
19996.034,1.000,0.000,1.000, , , , 
20236.950,1.000,0.000,2.000, , , , 
20477.866,1.000,0.000,0.000, , , , 
20718.782,0.000,0.000,1.000, , , , 
20959.698,0.000,0.000,2.000, , , , 
21200.614,0.000,0.000,2.000, , , , 
21441.530,1.000,0.000,2.000, , , , 
21682.446,2.000,0.000,2.000, , , , 
21923.362,2.000,0.000,2.000, , , , 
22164.278,1.000,0.000,2.000, , , , 
22405.194,0.000,0.000,3.000, , , , 
22646.110,1.000,0.000,2.000, , , , 
22887.026,0.000,0.000,1.000, , , , 
23127.942,0.000,0.000,3.000, , , , 
23368.859,1.000,0.000,2.000, , , , 
23609.775,1.000,0.000,3.000, , , , 
23850.691,2.000,0.000,3.000, , , , 
24091.607,1.000,0.000,4.000, , , , 
24332.523,1.000,0.000,4.000, , , , 
24573.439,1.000,0.000,4.000, , , , 
24814.355,1.000,0.000,5.000, , , , 
25055.271,1.000,0.000,5.000, , , , 
25296.187,1.000,0.000,4.000, , , , 
25537.103,2.000,0.000,5.000, , , , 
25778.019,0.000,0.000,6.000, , , , 
26018.935,0.000,0.000,5.000, , , , 
26259.851,0.000,0.000,7.000, , , , 
26500.767,1.000,0.000,8.000, , , , 
26741.683,2.000,0.000,8.000, , , , 
26982.600,1.000,0.000,11.000, , , , 
27223.516,0.000,0.000,11.000, , , , 
27464.432,1.000,0.000,9.000, , , , 
27705.348,2.000,0.000,12.000, , , , 
27946.264,3.000,0.000,9.000, , , , 
28187.180,2.000,0.000,13.000, , , , 
28428.096,0.000,0.000,17.000, , , , 
28669.012,0.000,0.000,17.000, , , , 
28909.928,1.000,0.000,21.000, , , , 
29150.844,1.000,0.000,22.000, , , , 
29391.760,1.000,0.000,29.000, , , , 
29632.676,2.000,0.000,30.000, , , , 
29873.592,1.000,0.000,35.000, , , , 
30114.508,0.000,0.000,43.000, , , , 
30355.425,2.000,0.000,50.000, , , , 
30596.341,3.000,0.000,54.000, , , , 
30837.257,1.000,0.000,66.000, , , , 
31078.173,2.000,0.000,81.000, , , , 
31319.089,2.000,0.000,80.000, , , , 
31560.005,3.000,0.000,92.000, , , , 
31800.921,5.000,0.000,97.000, , , , 
32041.837,7.000,0.000,101.000, , , , 
32282.753,5.000,0.000,121.000, , , , 
32523.669,5.000,0.000,131.000, , , , 
32764.585,9.000,0.000,152.000, , , , 
33005.501,14.000,0.000,175.000, , , , 
33246.417,35.000,0.000,193.000, , , , 
33487.333,55.000,0.000,202.000, , , , 
33728.249,126.000,0.000,223.000, , , , 
33969.166,110.000,0.000,233.000, , , , 
34210.082,178.000,0.000,241.000, , , , 
34450.998,144.000,0.000,235.000, , , , 
34691.914,156.000,0.000,215.000, , , , 
34932.830,85.000,0.000,215.000, , , , 
35173.746,52.000,0.000,204.000, , , , 
35414.662,71.000,0.000,215.000, , , , 
35655.578,37.000,0.000,209.000, , , , 
35896.494,55.000,0.000,221.000, , , , 
36137.410,28.000,0.000,204.000, , , , 
36378.326,26.000,0.000,206.000, , , , 
36619.242,25.000,0.000,226.000, , , , 
36860.158,29.000,0.000,233.000, , , , 
37101.074,43.000,0.000,243.000, , , , 
37341.990,80.000,0.000,255.000, , , , 
37582.907,106.000,0.000,255.000, , , , 
37823.823,134.000,0.000,255.000, , , , 
38064.739,151.000,0.000,255.000, , , , 
38305.655,156.000,0.000,255.000, , , , 
38546.571,154.000,0.000,255.000, , , , 
38787.487,154.000,0.000,255.000, , , , 
39028.403,144.000,0.000,254.000, , , , 
39269.319,141.000,0.000,255.000, , , , 
39510.235,148.000,0.000,251.000, , , , 
39751.151,176.000,0.000,253.000, , , , 
39992.067,174.000,0.000,249.000, , , , 
40232.983,194.000,0.000,254.000, , , , 
40473.899,219.000,0.000,255.000, , , , 
40714.815,243.000,0.000,255.000, , , , 
40955.731,244.000,0.000,255.000, , , , 
41196.648,253.000,0.000,255.000, , , , 
41437.564,254.000,0.000,255.000, , , , 
41678.480,244.000,0.000,255.000, , , , 
41919.396,240.000,0.000,255.000, , , , 
42160.312,209.000,0.000,255.000, , , , 
42401.228,220.000,0.000,255.000, , , , 
42642.144,170.000,0.000,255.000, , , , 
42883.060,189.000,0.000,251.000, , , , 
43123.976,202.000,0.000,251.000, , , , 
43364.892,183.000,0.000,220.000, , , , 
43605.808,188.000,0.000,202.000, , , , 
43846.724,166.000,0.000,148.000, , , , 
44087.640,143.000,0.000,127.000, , , , 
44328.556,129.000,0.000,93.000, , , , 
44569.472,138.000,0.000,85.000, , , , 
44810.389,144.000,0.000,70.000, , , , 
45051.305,149.000,0.000,71.000, , , , 
45292.221,158.000,0.000,64.000, , , , 
45533.137,158.000,0.000,64.000, , , , 
45774.053,141.000,0.000,61.000, , , , 
46014.969,107.000,0.000,49.000, , , , 
46255.885,98.000,0.000,57.000, , , , 
46496.801,39.000,0.000,52.000, , , , 
46737.717,33.000,0.000,53.000, , , , 
46978.633,21.000,0.000,41.000, , , , 
47219.549,20.000,0.000,36.000, , , , 
47460.465,26.000,0.000,38.000, , , , 
47701.381,24.000,0.000,42.000, , , , 
47942.297,16.000,0.000,44.000, , , , 
48183.214,20.000,0.000,43.000, , , , 
48424.130,31.000,0.000,43.000, , , , 
48665.046,37.000,0.000,46.000, , , , 
48905.962,37.000,0.000,46.000, , , , 
49146.878,80.000,0.000,50.000, , , , 
49387.794,62.000,0.000,63.000, , , , 
49628.710,119.000,0.000,76.000, , , , 
49869.626,134.000,0.000,76.000, , , , 
50110.542,172.000,0.000,88.000, , , , 
50351.458,174.000,0.000,106.000, , , , 
50592.374,174.000,0.000,108.000, , , , 
50833.290,187.000,0.000,110.000, , , , 
51074.206,221.000,0.000,118.000, , , , 
51315.122,214.000,0.000,119.000, , , , 
51556.038,189.000,0.000,114.000, , , , 
51796.955,166.000,0.000,105.000, , , , 
52037.871,161.000,0.000,103.000, , , , 
52278.787,159.000,0.000,99.000, , , , 
52519.703,165.000,0.000,93.000, , , , 
52760.619,162.000,0.000,91.000, , , , 
53001.535,186.000,0.000,88.000, , , , 
53242.451,183.000,0.000,84.000, , , , 
53483.367,188.000,0.000,74.000, , , , 
53724.283,177.000,0.000,59.000, , , , 
53965.199,157.000,0.000,43.000, , , , 
54206.115,146.000,0.000,35.000, , , , 
54447.031,134.000,0.000,26.000, , , , 
54687.947,114.000,0.000,26.000, , , , 
54928.863,116.000,0.000,24.000, , , , 
55169.779,125.000,0.000,25.000, , , , 
55410.696,115.000,0.000,22.000, , , , 
55651.612,115.000,0.000,22.000, , , , 
55892.528,124.000,0.000,20.000, , , , 
56133.444,84.000,0.000,19.000, , , , 
56374.360,38.000,0.000,21.000, , , , 
56615.276,30.000,0.000,19.000, , , , 
56856.192,22.000,0.000,20.000, , , , 
57097.108,23.000,0.000,23.000, , , , 
57338.024,20.000,0.000,23.000, , , , 
57578.940,16.000,0.000,21.000, , , , 
57819.856,12.000,0.000,23.000, , , , 
58060.772,12.000,0.000,24.000, , , , 
58301.688,16.000,0.000,28.000, , , , 
58542.604,27.000,0.000,26.000, , , , 
58783.520,31.000,0.000,35.000, , , , 
59024.437,48.000,0.000,37.000, , , , 
59265.353,51.000,0.000,42.000, , , , 
59506.269,65.000,0.000,50.000, , , , 
59747.185,79.000,0.000,57.000, , , , 
59988.101,82.000,0.000,62.000, , , , 
60229.017,67.000,0.000,56.000, , , , 
60469.933,79.000,0.000,63.000, , , , 
60710.849,62.000,0.000,57.000, , , , 
60951.765,64.000,0.000,55.000, , , , 
61192.681,52.000,0.000,53.000, , , , 
61433.597,43.000,0.000,53.000, , , , 
61674.513,28.000,0.000,45.000, , , , 
61915.429,27.000,0.000,43.000, , , , 
62156.345,26.000,0.000,38.000, , , , 
62397.261,18.000,0.000,31.000, , , , 
62638.178,22.000,0.000,30.000, , , , 
62879.094,25.000,0.000,27.000, , , , 
63120.010,15.000,0.000,23.000, , , , 
63360.926,19.000,0.000,24.000, , , , 
63601.842,25.000,0.000,21.000, , , , 
63842.758,54.000,0.000,21.000, , , , 
64083.674,87.000,0.000,19.000, , , , 
64324.590,61.000,0.000,19.000, , , , 
64565.506,74.000,0.000,19.000, , , , 
64806.422,96.000,0.000,19.000, , , , 
65047.338,54.000,0.000,15.000, , , , 
65288.254,66.000,0.000,19.000, , , , 
65529.170,93.000,0.000,23.000, , , , 
65770.086,93.000,0.000,23.000, , , , 
66011.003,112.000,0.000,25.000, , , , 
66251.919,146.000,0.000,22.000, , , , 
66492.835,148.000,0.000,24.000, , , , 
66733.751,153.000,0.000,20.000, , , , 
66974.667,132.000,0.000,26.000, , , , 
67215.583,141.000,0.000,26.000, , , , 
67456.499,165.000,0.000,25.000, , , , 
67697.415,218.000,0.000,24.000, , , , 
67938.331,215.000,0.000,26.000, , , , 
68179.247,225.000,0.000,25.000, , , , 
68420.163,236.000,0.000,27.000, , , , 
68661.079,189.000,0.000,20.000, , , , 
68901.995,178.000,0.000,20.000, , , , 
69142.911,124.000,0.000,23.000, , , , 
69383.827,146.000,0.000,19.000, , , , 
69624.744,147.000,0.000,18.000, , , , 
69865.660,131.000,0.000,19.000, , , , 
70106.576,118.000,0.000,17.000, , , , 
70347.492,89.000,0.000,16.000, , , , 
70588.408,51.000,0.000,15.000, , , , 
70829.324,36.000,0.000,16.000, , , , 
71070.240,46.000,0.000,17.000, , , , 
71311.156,84.000,0.000,20.000, , , , 
71552.072,102.000,0.000,18.000, , , , 
71792.988,169.000,0.000,20.000, , , , 
72033.904,181.000,0.000,21.000, , , , 
72274.820,178.000,0.000,26.000, , , , 
72515.736,178.000,0.000,26.000, , , , 
72756.652,155.000,0.000,27.000, , , , 
72997.568,146.000,0.000,21.000, , , , 
73238.485,117.000,0.000,22.000, , , , 
73479.401,144.000,0.000,22.000, , , , 
73720.317,152.000,0.000,22.000, , , , 
73961.233,131.000,0.000,21.000, , , , 
74202.149,120.000,0.000,18.000, , , , 
74443.065,124.000,0.000,14.000, , , , 
74683.981,122.000,0.000,16.000, , , , 
74924.897,128.000,0.000,17.000, , , , 
75165.813,137.000,0.000,23.000, , , , 
75406.729,146.000,0.000,22.000, , , , 
75647.645,136.000,0.000,24.000, , , , 
75888.561,136.000,0.000,24.000, , , , 
76129.477,119.000,0.000,24.000, , , , 
76370.393,113.000,0.000,22.000, , , , 
76611.309,117.000,0.000,25.000, , , , 
76852.226,116.000,0.000,23.000, , , , 
77093.142,128.000,0.000,23.000, , , , 
77334.058,108.000,0.000,28.000, , , , 
77574.974,128.000,0.000,28.000, , , , 
77815.890,127.000,0.000,28.000, , , , 
78056.806,129.000,0.000,26.000, , , , 
78297.722,137.000,0.000,29.000, , , , 
78538.638,133.000,0.000,30.000, , , , 
78779.554,138.000,0.000,30.000, , , , 
79020.470,131.000,0.000,29.000, , , , 
79261.386,121.000,0.000,28.000, , , , 
