1::1,2::2,3::3,4::4,5::5,6::6,7::7,8::8
,,,,,,,
Bildname,IP-Bildgröße ändern-02, , , , , , 
T = 0,Z = 0, , , , , , 
 , , , , , , , 
Nr.,Werkzeug,Position1[nm],Position2[nm],ΔP2-P1[nm],ΔCh1-T1,ΔT PMT-T1,ΔCh2-T2
 , , , , , , , 
Abstand[nm],Ch1-T1,T PMT-T1,Ch2-T2, , , , 
0.000,2.000,0.000,0.000, , , , 
240.916,0.000,0.000,0.000, , , , 
481.832,2.000,0.000,0.000, , , , 
722.748,2.000,0.000,0.000, , , , 
963.664,0.000,0.000,0.000, , , , 
1204.580,2.000,0.000,1.000, , , , 
1445.496,1.000,0.000,1.000, , , , 
1686.412,1.000,0.000,1.000, , , , 
1927.329,2.000,0.000,0.000, , , , 
2168.245,0.000,0.000,0.000, , , , 
2409.161,0.000,0.000,0.000, , , , 
2650.077,0.000,0.000,0.000, , , , 
2890.993,0.000,0.000,0.000, , , , 
3131.909,0.000,0.000,0.000, , , , 
3372.825,1.000,0.000,0.000, , , , 
3613.741,0.000,0.000,0.000, , , , 
3854.657,1.000,0.000,1.000, , , , 
4095.573,0.000,0.000,1.000, , , , 
4336.489,0.000,0.000,1.000, , , , 
4577.405,1.000,0.000,0.000, , , , 
4818.321,0.000,0.000,1.000, , , , 
5059.237,0.000,0.000,1.000, , , , 
5300.153,1.000,0.000,1.000, , , , 
5541.070,1.000,0.000,0.000, , , , 
5781.986,2.000,0.000,0.000, , , , 
6022.902,1.000,0.000,1.000, , , , 
6263.818,1.000,0.000,0.000, , , , 
6504.734,1.000,0.000,1.000, , , , 
6745.650,2.000,0.000,0.000, , , , 
6986.566,1.000,0.000,1.000, , , , 
7227.482,2.000,0.000,1.000, , , , 
7468.398,1.000,0.000,1.000, , , , 
7709.314,2.000,0.000,1.000, , , , 
7950.230,0.000,0.000,1.000, , , , 
8191.146,0.000,0.000,1.000, , , , 
8432.062,0.000,0.000,1.000, , , , 
8672.978,1.000,0.000,1.000, , , , 
8913.894,1.000,0.000,0.000, , , , 
9154.811,1.000,0.000,1.000, , , , 
9395.727,2.000,0.000,1.000, , , , 
9636.643,1.000,0.000,1.000, , , , 
9877.559,1.000,0.000,0.000, , , , 
10118.475,1.000,0.000,0.000, , , , 
10359.391,0.000,0.000,1.000, , , , 
10600.307,0.000,0.000,1.000, , , , 
10841.223,1.000,0.000,1.000, , , , 
11082.139,1.000,0.000,1.000, , , , 
11323.055,1.000,0.000,0.000, , , , 
11563.971,0.000,0.000,1.000, , , , 
11804.887,0.000,0.000,1.000, , , , 
12045.803,1.000,0.000,2.000, , , , 
12286.719,0.000,0.000,2.000, , , , 
12527.636,0.000,0.000,2.000, , , , 
12768.552,1.000,0.000,1.000, , , , 
13009.468,0.000,0.000,1.000, , , , 
13250.384,0.000,0.000,2.000, , , , 
13491.300,1.000,0.000,1.000, , , , 
13732.216,4.000,0.000,0.000, , , , 
13973.132,2.000,0.000,2.000, , , , 
14214.048,1.000,0.000,2.000, , , , 
14454.964,2.000,0.000,2.000, , , , 
14695.880,1.000,0.000,3.000, , , , 
14936.796,1.000,0.000,2.000, , , , 
15177.712,1.000,0.000,2.000, , , , 
15418.628,1.000,0.000,2.000, , , , 
15659.544,3.000,0.000,3.000, , , , 
15900.460,2.000,0.000,3.000, , , , 
16141.377,2.000,0.000,2.000, , , , 
16382.293,1.000,0.000,2.000, , , , 
16623.209,0.000,0.000,4.000, , , , 
16864.125,1.000,0.000,4.000, , , , 
17105.041,1.000,0.000,2.000, , , , 
17345.957,2.000,0.000,4.000, , , , 
17586.873,2.000,0.000,5.000, , , , 
17827.789,1.000,0.000,3.000, , , , 
18068.705,1.000,0.000,4.000, , , , 
18309.621,1.000,0.000,3.000, , , , 
18550.537,0.000,0.000,4.000, , , , 
18791.453,1.000,0.000,5.000, , , , 
19032.369,1.000,0.000,6.000, , , , 
19273.285,2.000,0.000,5.000, , , , 
19514.201,1.000,0.000,5.000, , , , 
19755.118,2.000,0.000,7.000, , , , 
19996.034,2.000,0.000,7.000, , , , 
20236.950,2.000,0.000,9.000, , , , 
20477.866,1.000,0.000,9.000, , , , 
20718.782,2.000,0.000,10.000, , , , 
20959.698,3.000,0.000,15.000, , , , 
21200.614,1.000,0.000,17.000, , , , 
21441.530,3.000,0.000,20.000, , , , 
21682.446,5.000,0.000,25.000, , , , 
21923.362,7.000,0.000,31.000, , , , 
22164.278,15.000,0.000,37.000, , , , 
22405.194,22.000,0.000,37.000, , , , 
22646.110,24.000,0.000,41.000, , , , 
22887.026,35.000,0.000,46.000, , , , 
23127.942,69.000,0.000,43.000, , , , 
23368.859,67.000,0.000,43.000, , , , 
23609.775,57.000,0.000,50.000, , , , 
23850.691,70.000,0.000,50.000, , , , 
24091.607,70.000,0.000,46.000, , , , 
24332.523,68.000,0.000,46.000, , , , 
24573.439,61.000,0.000,51.000, , , , 
24814.355,55.000,0.000,48.000, , , , 
25055.271,54.000,0.000,47.000, , , , 
25296.187,34.000,0.000,43.000, , , , 
25537.103,36.000,0.000,42.000, , , , 
25778.019,25.000,0.000,40.000, , , , 
26018.935,17.000,0.000,34.000, , , , 
26259.851,14.000,0.000,35.000, , , , 
26500.767,21.000,0.000,37.000, , , , 
26741.683,17.000,0.000,43.000, , , , 
26982.600,22.000,0.000,51.000, , , , 
27223.516,32.000,0.000,55.000, , , , 
27464.432,47.000,0.000,59.000, , , , 
27705.348,54.000,0.000,61.000, , , , 
27946.264,52.000,0.000,62.000, , , , 
28187.180,54.000,0.000,60.000, , , , 
28428.096,74.000,0.000,59.000, , , , 
28669.012,69.000,0.000,61.000, , , , 
28909.928,54.000,0.000,59.000, , , , 
29150.844,62.000,0.000,52.000, , , , 
29391.760,63.000,0.000,51.000, , , , 
29632.676,49.000,0.000,52.000, , , , 
29873.592,45.000,0.000,47.000, , , , 
30114.508,45.000,0.000,40.000, , , , 
30355.425,29.000,0.000,33.000, , , , 
30596.341,22.000,0.000,37.000, , , , 
30837.257,19.000,0.000,34.000, , , , 
31078.173,17.000,0.000,31.000, , , , 
31319.089,15.000,0.000,26.000, , , , 
31560.005,19.000,0.000,24.000, , , , 
31800.921,21.000,0.000,25.000, , , , 
32041.837,20.000,0.000,26.000, , , , 
32282.753,19.000,0.000,29.000, , , , 
32523.669,18.000,0.000,29.000, , , , 
32764.585,26.000,0.000,22.000, , , , 
33005.501,27.000,0.000,27.000, , , , 
33246.417,33.000,0.000,28.000, , , , 
33487.333,34.000,0.000,32.000, , , , 
33728.249,31.000,0.000,31.000, , , , 
33969.166,32.000,0.000,38.000, , , , 
34210.082,47.000,0.000,34.000, , , , 
34450.998,58.000,0.000,40.000, , , , 
34691.914,58.000,0.000,43.000, , , , 
34932.830,63.000,0.000,44.000, , , , 
35173.746,68.000,0.000,46.000, , , , 
35414.662,68.000,0.000,52.000, , , , 
35655.578,77.000,0.000,52.000, , , , 
35896.494,86.000,0.000,58.000, , , , 
36137.410,92.000,0.000,61.000, , , , 
36378.326,89.000,0.000,64.000, , , , 
36619.242,91.000,0.000,69.000, , , , 
36860.158,107.000,0.000,94.000, , , , 
37101.074,106.000,0.000,116.000, , , , 
37341.990,128.000,0.000,120.000, , , , 
37582.907,125.000,0.000,140.000, , , , 
37823.823,114.000,0.000,141.000, , , , 
38064.739,145.000,0.000,136.000, , , , 
38305.655,139.000,0.000,131.000, , , , 
38546.571,155.000,0.000,124.000, , , , 
38787.487,153.000,0.000,122.000, , , , 
39028.403,140.000,0.000,120.000, , , , 
39269.319,141.000,0.000,106.000, , , , 
39510.235,142.000,0.000,106.000, , , , 
39751.151,124.000,0.000,114.000, , , , 
39992.067,129.000,0.000,104.000, , , , 
40232.983,125.000,0.000,99.000, , , , 
40473.899,117.000,0.000,85.000, , , , 
40714.815,110.000,0.000,74.000, , , , 
40955.731,110.000,0.000,76.000, , , , 
41196.648,103.000,0.000,76.000, , , , 
41437.564,73.000,0.000,64.000, , , , 
41678.480,63.000,0.000,56.000, , , , 
41919.396,51.000,0.000,51.000, , , , 
42160.312,59.000,0.000,50.000, , , , 
42401.228,47.000,0.000,57.000, , , , 
42642.144,56.000,0.000,66.000, , , , 
42883.060,91.000,0.000,72.000, , , , 
43123.976,123.000,0.000,71.000, , , , 
43364.892,125.000,0.000,73.000, , , , 
43605.808,121.000,0.000,82.000, , , , 
43846.724,120.000,0.000,88.000, , , , 
44087.640,121.000,0.000,86.000, , , , 
44328.556,119.000,0.000,88.000, , , , 
44569.472,117.000,0.000,90.000, , , , 
44810.389,140.000,0.000,89.000, , , , 
45051.305,161.000,0.000,91.000, , , , 
45292.221,169.000,0.000,88.000, , , , 
45533.137,124.000,0.000,86.000, , , , 
45774.053,129.000,0.000,80.000, , , , 
46014.969,154.000,0.000,91.000, , , , 
46255.885,164.000,0.000,80.000, , , , 
46496.801,172.000,0.000,85.000, , , , 
46737.717,180.000,0.000,86.000, , , , 
46978.633,195.000,0.000,80.000, , , , 
47219.549,173.000,0.000,90.000, , , , 
47460.465,167.000,0.000,82.000, , , , 
47701.381,126.000,0.000,79.000, , , , 
47942.297,117.000,0.000,86.000, , , , 
48183.214,141.000,0.000,92.000, , , , 
48424.130,163.000,0.000,99.000, , , , 
48665.046,182.000,0.000,105.000, , , , 
48905.962,195.000,0.000,103.000, , , , 
49146.878,193.000,0.000,109.000, , , , 
49387.794,170.000,0.000,125.000, , , , 
49628.710,143.000,0.000,128.000, , , , 
49869.626,180.000,0.000,136.000, , , , 
50110.542,172.000,0.000,146.000, , , , 
50351.458,186.000,0.000,145.000, , , , 
50592.374,211.000,0.000,131.000, , , , 
50833.290,176.000,0.000,130.000, , , , 
51074.206,161.000,0.000,118.000, , , , 
51315.122,149.000,0.000,102.000, , , , 
51556.038,172.000,0.000,102.000, , , , 
51796.955,162.000,0.000,102.000, , , , 
52037.871,161.000,0.000,102.000, , , , 
52278.787,168.000,0.000,97.000, , , , 
52519.703,171.000,0.000,102.000, , , , 
52760.619,166.000,0.000,98.000, , , , 
53001.535,177.000,0.000,97.000, , , , 
53242.451,150.000,0.000,98.000, , , , 
53483.367,139.000,0.000,93.000, , , , 
53724.283,127.000,0.000,95.000, , , , 
53965.199,113.000,0.000,100.000, , , , 
54206.115,111.000,0.000,105.000, , , , 
54447.031,134.000,0.000,104.000, , , , 
54687.947,154.000,0.000,101.000, , , , 
54928.863,193.000,0.000,98.000, , , , 
55169.779,206.000,0.000,104.000, , , , 
55410.696,215.000,0.000,100.000, , , , 
55651.612,179.000,0.000,88.000, , , , 
55892.528,204.000,0.000,85.000, , , , 
56133.444,212.000,0.000,83.000, , , , 
56374.360,238.000,0.000,84.000, , , , 
56615.276,229.000,0.000,86.000, , , , 
56856.192,190.000,0.000,79.000, , , , 
57097.108,185.000,0.000,78.000, , , , 
57338.024,187.000,0.000,81.000, , , , 
57578.940,178.000,0.000,75.000, , , , 
57819.856,158.000,0.000,71.000, , , , 
58060.772,123.000,0.000,66.000, , , , 
58301.688,90.000,0.000,63.000, , , , 
58542.604,68.000,0.000,60.000, , , , 
58783.520,65.000,0.000,58.000, , , , 
59024.437,62.000,0.000,58.000, , , , 
59265.353,68.000,0.000,54.000, , , , 
59506.269,79.000,0.000,50.000, , , , 
59747.185,116.000,0.000,51.000, , , , 
59988.101,119.000,0.000,47.000, , , , 
60229.017,117.000,0.000,48.000, , , , 
60469.933,115.000,0.000,48.000, , , , 
60710.849,111.000,0.000,46.000, , , , 
60951.765,107.000,0.000,51.000, , , , 
61192.681,93.000,0.000,46.000, , , , 
61433.597,105.000,0.000,51.000, , , , 
61674.513,110.000,0.000,53.000, , , , 
61915.429,143.000,0.000,49.000, , , , 
62156.345,166.000,0.000,47.000, , , , 
62397.261,179.000,0.000,49.000, , , , 
62638.178,225.000,0.000,52.000, , , , 
62879.094,245.000,0.000,59.000, , , , 
63120.010,202.000,0.000,62.000, , , , 
63360.926,214.000,0.000,57.000, , , , 
63601.842,203.000,0.000,50.000, , , , 
63842.758,196.000,0.000,43.000, , , , 
64083.674,156.000,0.000,40.000, , , , 
64324.590,121.000,0.000,34.000, , , , 
64565.506,67.000,0.000,28.000, , , , 
64806.422,49.000,0.000,24.000, , , , 
65047.338,47.000,0.000,26.000, , , , 
65288.254,63.000,0.000,20.000, , , , 
65529.170,92.000,0.000,22.000, , , , 
65770.086,126.000,0.000,27.000, , , , 
66011.003,151.000,0.000,24.000, , , , 
66251.919,160.000,0.000,26.000, , , , 
66492.835,124.000,0.000,25.000, , , , 
66733.751,128.000,0.000,21.000, , , , 
66974.667,111.000,0.000,26.000, , , , 
67215.583,105.000,0.000,25.000, , , , 
67456.499,109.000,0.000,24.000, , , , 
67697.415,103.000,0.000,23.000, , , , 
67938.331,109.000,0.000,25.000, , , , 
68179.247,105.000,0.000,24.000, , , , 
68420.163,110.000,0.000,26.000, , , , 
68661.079,102.000,0.000,29.000, , , , 
68901.995,97.000,0.000,29.000, , , , 
69142.911,99.000,0.000,34.000, , , , 
69383.827,88.000,0.000,31.000, , , , 
69624.744,102.000,0.000,34.000, , , , 
69865.660,93.000,0.000,38.000, , , , 
70106.576,97.000,0.000,38.000, , , , 
70347.492,118.000,0.000,35.000, , , , 
70588.408,105.000,0.000,39.000, , , , 
70829.324,120.000,0.000,33.000, , , , 
71070.240,125.000,0.000,36.000, , , , 
71311.156,107.000,0.000,37.000, , , , 
71552.072,98.000,0.000,38.000, , , , 
71792.988,112.000,0.000,37.000, , , , 
72033.904,101.000,0.000,27.000, , , , 
72274.820,89.000,0.000,23.000, , , , 
72515.736,71.000,0.000,23.000, , , , 
72756.652,55.000,0.000,23.000, , , , 
72997.568,49.000,0.000,21.000, , , , 
73238.485,39.000,0.000,17.000, , , , 
73479.401,31.000,0.000,15.000, , , , 
73720.317,36.000,0.000,13.000, , , , 
73961.233,40.000,0.000,15.000, , , , 
74202.149,27.000,0.000,17.000, , , , 
74443.065,21.000,0.000,14.000, , , , 
74683.981,21.000,0.000,13.000, , , , 
74924.897,17.000,0.000,16.000, , , , 
75165.813,21.000,0.000,17.000, , , , 
75406.729,29.000,0.000,15.000, , , , 
75647.645,25.000,0.000,14.000, , , , 
75888.561,23.000,0.000,14.000, , , , 
76129.477,26.000,0.000,14.000, , , , 
76370.393,25.000,0.000,14.000, , , , 
76611.309,28.000,0.000,17.000, , , , 
76852.226,35.000,0.000,18.000, , , , 
77093.142,27.000,0.000,15.000, , , , 
77334.058,16.000,0.000,12.000, , , , 
77574.974,16.000,0.000,11.000, , , , 
77815.890,8.000,0.000,12.000, , , , 
78056.806,12.000,0.000,13.000, , , , 
78297.722,14.000,0.000,17.000, , , , 
78538.638,8.000,0.000,19.000, , , , 
78779.554,9.000,0.000,19.000, , , , 
79020.470,7.000,0.000,20.000, , , , 
79261.386,10.000,0.000,24.000, , , , 
