TrackNumber,TimePoint,Position,AreaMorphologyCh01,CVBgCorrectedCh01,CVImgDivByBgMinus1Ch01,CVImgMinusBgCh01,CVNoBgCorrectedCh01,MeanBgCorrectedCh01,MeanImgDivByBgMinus1Ch01,MeanImgMinusBgCh01,MeanNoBgCorrectedCh01,PerimeterMorphologyCh01,StdDevBgCorrectedCh01,StdDevImgDivByBgMinus1Ch01,StdDevImgMinusBgCh01,StdDevNoBgCorrectedCh01,SumBgCorrectedCh01,SumImgDivByBgMinus1Ch01,SumImgMinusBgCh01,SumNoBgCorrectedCh01,active,inspected
1,1,1,1274.5,nan,nan,nan,36.0944,nan,nan,nan,0.227931,138.61,nan,nan,nan,0.0822703,nan,nan,nan,303.831,1,0
1,2,1,1207.5,nan,nan,nan,32.6007,nan,nan,nan,0.257041,134.125,nan,nan,nan,0.0837972,nan,nan,nan,325.157,1,0
1,3,1,1179,nan,nan,nan,29.9782,nan,nan,nan,0.273349,132.711,nan,nan,nan,0.0819449,nan,nan,nan,337.859,1,0
1,4,1,1183,nan,nan,nan,29.6643,nan,nan,nan,0.287919,132.711,nan,nan,nan,0.0854092,nan,nan,nan,357.02,1,0
1,5,1,1107,nan,nan,nan,27.3116,nan,nan,nan,0.307342,127.397,nan,nan,nan,0.08394,nan,nan,nan,357.439,1,0
1,6,1,1072.5,nan,nan,nan,26.0964,nan,nan,nan,0.326387,127.64,nan,nan,nan,0.0851753,nan,nan,nan,368.165,1,0
1,7,1,1069,nan,nan,nan,24.4813,nan,nan,nan,0.337725,127.397,nan,nan,nan,0.0826796,nan,nan,nan,379.941,1,0
1,8,1,1188,nan,nan,nan,27.4581,nan,nan,nan,0.336651,132.225,nan,nan,nan,0.0924377,nan,nan,nan,419.467,1,0
1,9,1,1367.5,nan,nan,nan,29.5798,nan,nan,nan,0.328055,144.468,nan,nan,nan,0.0970382,nan,nan,nan,469.447,1,0
1,10,1,1439.5,nan,nan,nan,29.848,nan,nan,nan,0.331419,147.296,nan,nan,nan,0.0989221,nan,nan,nan,498.455,1,0
1,11,1,1484.5,nan,nan,nan,29.8962,nan,nan,nan,0.339265,152.125,nan,nan,nan,0.101427,nan,nan,nan,526.2,1,0
1,12,1,1432.5,nan,nan,nan,27.7132,nan,nan,nan,0.353028,148.125,nan,nan,nan,0.0978353,nan,nan,nan,528.482,1,0
1,13,1,1471.5,nan,nan,nan,29.9331,nan,nan,nan,0.362338,150.953,nan,nan,nan,0.108459,nan,nan,nan,556.914,1,0
1,14,1,1447.5,nan,nan,nan,28.5965,nan,nan,nan,0.372518,147.296,nan,nan,nan,0.106527,nan,nan,nan,563.247,1,0
1,15,1,2398,nan,nan,nan,28.2524,nan,nan,nan,0.355,259.279,nan,nan,nan,0.100296,nan,nan,nan,891.051,1,0
1,16,1,1335.5,nan,nan,nan,27.4621,nan,nan,nan,0.409779,142.468,nan,nan,nan,0.112534,nan,nan,nan,572.871,1,0
1,17,1,1371.5,nan,nan,nan,26.8097,nan,nan,nan,0.4162,143.983,nan,nan,nan,0.111582,nan,nan,nan,597.663,1,0
1,18,1,1408.5,nan,nan,nan,25.451,nan,nan,nan,0.421461,143.983,nan,nan,nan,0.107266,nan,nan,nan,620.812,1,0
1,19,1,2651,nan,nan,nan,26.5886,nan,nan,nan,0.392307,260.451,nan,nan,nan,0.104309,nan,nan,nan,1084.34,1,0
1,20,1,2767.5,nan,nan,nan,26.9727,nan,nan,nan,0.393808,271.037,nan,nan,nan,0.10622,nan,nan,nan,1136.53,1,0
1,21,1,2766,nan,nan,nan,27.1513,nan,nan,nan,0.406004,260.108,nan,nan,nan,0.110235,nan,nan,nan,1168.48,1,0
1,22,1,2691.5,nan,nan,nan,25.5211,nan,nan,nan,0.42215,255.723,nan,nan,nan,0.107738,nan,nan,nan,1183.71,1,0
1,23,1,2727,nan,nan,nan,26.2986,nan,nan,nan,0.427064,253.622,nan,nan,nan,0.112312,nan,nan,nan,1211.58,1,0
1,24,1,2673.5,nan,nan,nan,26.1984,nan,nan,nan,0.436139,253.38,nan,nan,nan,0.114261,nan,nan,nan,1214.21,1,0
1,25,1,4558.5,nan,nan,nan,24.7557,nan,nan,nan,0.331333,367.262,nan,nan,nan,0.0820239,nan,nan,nan,1562.56,1,0
1,26,1,32.5,nan,nan,nan,18.7274,nan,nan,nan,0.304575,30.0416,nan,nan,nan,0.057039,nan,nan,nan,13.7059,1,0
2,27,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
2,28,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
2,29,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
2,30,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
2,31,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
2,32,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
2,33,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
2,34,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
2,35,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
2,36,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
2,37,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
2,38,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
2,39,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
2,40,1,892.5,nan,nan,nan,25.4608,nan,nan,nan,0.122708,115.154,nan,nan,nan,0.0312424,nan,nan,nan,115.714,1,1
2,41,1,596.5,nan,nan,nan,29.691,nan,nan,nan,0.127534,93.3553,nan,nan,nan,0.0378661,nan,nan,nan,81.4941,1,1
2,42,1,752.5,nan,nan,nan,29.5057,nan,nan,nan,0.127272,105.497,nan,nan,nan,0.0375524,nan,nan,nan,101.69,1,1
2,43,1,882.5,nan,nan,nan,29.2731,nan,nan,nan,0.126951,114.669,nan,nan,nan,0.0371626,nan,nan,nan,118.573,1,1
2,44,1,714.5,nan,nan,nan,31.3697,nan,nan,nan,0.130224,106.184,nan,nan,nan,0.0408508,nan,nan,nan,99.3608,1,1
2,45,1,627.5,nan,nan,nan,30.8265,nan,nan,nan,0.129284,97.6985,nan,nan,nan,0.0398536,nan,nan,nan,87.0078,1,1
2,46,1,843,nan,nan,nan,31.2483,nan,nan,nan,0.130007,117.255,nan,nan,nan,0.0406249,nan,nan,nan,116.486,1,1
2,47,1,743,nan,nan,nan,30.8617,nan,nan,nan,0.129342,105.598,nan,nan,nan,0.0399173,nan,nan,nan,102.31,1,1
2,48,1,647.5,nan,nan,nan,32.6999,nan,nan,nan,0.132909,99.3553,nan,nan,nan,0.0434611,nan,nan,nan,92.1059,1,1
2,49,1,759.5,nan,nan,nan,32.9344,nan,nan,nan,0.133454,113.012,nan,nan,nan,0.0439523,nan,nan,nan,108.231,1,1
2,50,1,818,nan,nan,nan,33.6316,nan,nan,nan,0.135251,112.426,nan,nan,nan,0.0454872,nan,nan,nan,117.533,1,1
2,51,1,898,nan,nan,nan,34.9468,nan,nan,nan,0.139773,121.255,nan,nan,nan,0.0488463,nan,nan,nan,133.204,1,1
