TrackNumber,TimePoint,Position,AreaMorphologyCh01,CVBgCorrectedCh01,CVImgDivByBgMinus1Ch01,CVImgMinusBgCh01,CVNoBgCorrectedCh01,MeanBgCorrectedCh01,MeanImgDivByBgMinus1Ch01,MeanImgMinusBgCh01,MeanNoBgCorrectedCh01,PerimeterMorphologyCh01,StdDevBgCorrectedCh01,StdDevImgDivByBgMinus1Ch01,StdDevImgMinusBgCh01,StdDevNoBgCorrectedCh01,SumBgCorrectedCh01,SumImgDivByBgMinus1Ch01,SumImgMinusBgCh01,SumNoBgCorrectedCh01,active,inspected
1,1,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,2,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,3,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,4,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,5,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,6,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,7,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,8,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,9,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,10,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,11,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,12,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,13,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,14,1,641.5,nan,nan,nan,32.3157,nan,nan,nan,0.102972,138.752,nan,nan,nan,0.0332761,nan,nan,nan,71.8745,1,0
1,15,1,995,nan,nan,nan,27.6246,nan,nan,nan,0.108303,163.966,nan,nan,nan,0.0299183,nan,nan,nan,114.91,1,0
1,16,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,17,1,1332.5,nan,nan,nan,31.8545,nan,nan,nan,0.12205,164.066,nan,nan,nan,0.0388785,nan,nan,nan,170.871,1,0
1,18,1,2069.5,nan,nan,nan,33.5465,nan,nan,nan,0.122876,310.09,nan,nan,nan,0.0412207,nan,nan,nan,270.082,1,0
1,19,1,1853.5,nan,nan,nan,33.6699,nan,nan,nan,0.133595,249.037,nan,nan,nan,0.0449814,nan,nan,nan,261.98,1,0
1,20,1,968,nan,nan,nan,35.5062,nan,nan,nan,0.163849,125.539,nan,nan,nan,0.0581767,nan,nan,nan,167.29,1,0
1,21,1,965,nan,nan,nan,32.9093,nan,nan,nan,0.177981,124.711,nan,nan,nan,0.0585722,nan,nan,nan,181.184,1,0
1,22,1,970.5,nan,nan,nan,30.2425,nan,nan,nan,0.187829,126.125,nan,nan,nan,0.0568042,nan,nan,nan,192.337,1,0
1,23,1,905.5,nan,nan,nan,25.2619,nan,nan,nan,0.201869,121.296,nan,nan,nan,0.0509958,nan,nan,nan,193.188,1,0
1,24,1,929,nan,nan,nan,24.9042,nan,nan,nan,0.216277,121.397,nan,nan,nan,0.053862,nan,nan,nan,212.384,1,0
1,25,1,962.5,nan,nan,nan,24.0905,nan,nan,nan,0.223599,126.267,nan,nan,nan,0.0538662,nan,nan,nan,226.729,1,0
1,26,1,1020.5,nan,nan,nan,24.6701,nan,nan,nan,0.233563,126.125,nan,nan,nan,0.0576202,nan,nan,nan,250.847,1,0
1,27,1,1016,nan,nan,nan,24.7113,nan,nan,nan,0.250082,122.225,nan,nan,nan,0.0617985,nan,nan,nan,267.337,1,0
1,28,1,982.5,nan,nan,nan,22.9006,nan,nan,nan,0.262942,126.125,nan,nan,nan,0.0602154,nan,nan,nan,272.408,1,0
1,29,1,973.5,nan,nan,nan,21.5798,nan,nan,nan,0.280335,120.811,nan,nan,nan,0.0604958,nan,nan,nan,287.624,1,0
1,30,1,965.5,nan,nan,nan,20.9291,nan,nan,nan,0.295165,117.497,nan,nan,nan,0.0617754,nan,nan,nan,300.478,1,0
1,31,1,1035.5,nan,nan,nan,21.3691,nan,nan,nan,0.302622,125.154,nan,nan,nan,0.0646676,nan,nan,nan,330.161,1,0
1,32,1,1092,nan,nan,nan,21.9471,nan,nan,nan,0.311176,128.569,nan,nan,nan,0.0682941,nan,nan,nan,357.541,1,0
1,33,1,1997.5,nan,nan,nan,26.031,nan,nan,nan,0.285063,232.208,nan,nan,nan,0.0742048,nan,nan,nan,597.776,1,0
1,34,1,2118.5,nan,nan,nan,27.8577,nan,nan,nan,0.293826,234.551,nan,nan,nan,0.0818531,nan,nan,nan,652.294,1,0
1,35,1,2122,nan,nan,nan,26.5635,nan,nan,nan,0.304784,233.823,nan,nan,nan,0.0809615,nan,nan,nan,678.145,1,0
1,36,1,2291,nan,nan,nan,25.6113,nan,nan,nan,0.320382,228.995,nan,nan,nan,0.0820541,nan,nan,nan,766.353,1,0
1,37,1,2338.5,nan,nan,nan,26.8345,nan,nan,nan,0.335923,239.723,nan,nan,nan,0.0901432,nan,nan,nan,820.659,1,0
1,38,1,2517.5,nan,nan,nan,27.8768,nan,nan,nan,0.340432,238.894,nan,nan,nan,0.0949015,nan,nan,nan,892.612,1,0
1,39,1,2519.5,nan,nan,nan,28.6101,nan,nan,nan,0.359223,231.095,nan,nan,nan,0.102774,nan,nan,nan,942.243,1,0
