TrackNumber,TimePoint,Position,AreaMorphologyCh01,CVBgCorrectedCh01,CVImgDivByBgMinus1Ch01,CVImgMinusBgCh01,CVNoBgCorrectedCh01,MeanBgCorrectedCh01,MeanImgDivByBgMinus1Ch01,MeanImgMinusBgCh01,MeanNoBgCorrectedCh01,PerimeterMorphologyCh01,StdDevBgCorrectedCh01,StdDevImgDivByBgMinus1Ch01,StdDevImgMinusBgCh01,StdDevNoBgCorrectedCh01,SumBgCorrectedCh01,SumImgDivByBgMinus1Ch01,SumImgMinusBgCh01,SumNoBgCorrectedCh01,active,inspected
1,1,1,32,nan,nan,nan,15.4303,nan,nan,nan,0.111081,24.9706,nan,nan,nan,0.0171401,nan,nan,nan,4.77647,1,0
1,2,1,22.5,nan,nan,nan,30.2949,nan,nan,nan,0.128431,20.7279,nan,nan,nan,0.0389081,nan,nan,nan,4.1098,1,0
1,3,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,4,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,5,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,6,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,7,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,8,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,9,1,77,nan,nan,nan,15.6318,nan,nan,nan,0.245633,51.9411,nan,nan,nan,0.0383969,nan,nan,nan,24.3176,1,0
1,10,1,898,nan,nan,nan,18.1001,nan,nan,nan,0.238169,124.225,nan,nan,nan,0.0431088,nan,nan,nan,226.737,1,0
1,11,1,1004,nan,nan,nan,20.4631,nan,nan,nan,0.246911,126.569,nan,nan,nan,0.0505257,nan,nan,nan,261.725,1,0
1,12,1,948,nan,nan,nan,20.6429,nan,nan,nan,0.266092,126.225,nan,nan,nan,0.054929,nan,nan,nan,266.89,1,0
1,13,1,895,nan,nan,nan,20.6143,nan,nan,nan,0.283495,123.882,nan,nan,nan,0.0584406,nan,nan,nan,268.753,1,0
1,14,1,1047,nan,nan,nan,20.4747,nan,nan,nan,0.289344,131.054,nan,nan,nan,0.0592421,nan,nan,nan,319.435,1,0
1,15,1,2398,nan,nan,nan,28.2524,nan,nan,nan,0.355,259.279,nan,nan,nan,0.100296,nan,nan,nan,891.051,1,0
1,16,1,836.5,nan,nan,nan,14.6788,nan,nan,nan,0.326862,127.64,nan,nan,nan,0.0479794,nan,nan,nan,291.561,1,0
1,17,1,1087,nan,nan,nan,18.6077,nan,nan,nan,0.32547,131.054,nan,nan,nan,0.0605625,nan,nan,nan,372.337,1,0
1,18,1,1057,nan,nan,nan,19.0227,nan,nan,nan,0.34162,131.539,nan,nan,nan,0.0649854,nan,nan,nan,380.224,1,0
1,19,1,2651,nan,nan,nan,26.5886,nan,nan,nan,0.392307,260.451,nan,nan,nan,0.104309,nan,nan,nan,1084.34,1,0
1,20,1,2767.5,nan,nan,nan,26.9727,nan,nan,nan,0.393808,271.037,nan,nan,nan,0.10622,nan,nan,nan,1136.53,1,0
