TrackNumber,TimePoint,Position,AreaMorphologyCh01,CVBgCorrectedCh01,CVImgDivByBgMinus1Ch01,CVImgMinusBgCh01,CVNoBgCorrectedCh01,MeanBgCorrectedCh01,MeanImgDivByBgMinus1Ch01,MeanImgMinusBgCh01,MeanNoBgCorrectedCh01,PerimeterMorphologyCh01,StdDevBgCorrectedCh01,StdDevImgDivByBgMinus1Ch01,StdDevImgMinusBgCh01,StdDevNoBgCorrectedCh01,SumBgCorrectedCh01,SumImgDivByBgMinus1Ch01,SumImgMinusBgCh01,SumNoBgCorrectedCh01,active,inspected
1,1,1,137.5,nan,nan,nan,134.895,nan,nan,nan,0.0403329,87.2965,nan,nan,nan,0.0544071,nan,nan,nan,6.93725,1,0
1,2,1,206.5,nan,nan,nan,112.412,nan,nan,nan,0.0502402,104.125,nan,nan,nan,0.0564758,nan,nan,nan,12.5098,1,0
1,3,1,122.5,nan,nan,nan,96.1276,nan,nan,nan,0.0591073,73.9828,nan,nan,nan,0.0568184,nan,nan,nan,8.98431,1,0
1,4,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,5,1,328.5,nan,nan,nan,89.1939,nan,nan,nan,0.0633372,195.806,nan,nan,nan,0.0564929,nan,nan,nan,25.5882,1,0
1,6,1,103.5,nan,nan,nan,85.7969,nan,nan,nan,0.0655059,53.0122,nan,nan,nan,0.056202,nan,nan,nan,8.18824,1,0
1,7,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,8,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,9,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,10,1,287.5,nan,nan,nan,67.6593,nan,nan,nan,0.0780129,100.953,nan,nan,nan,0.052783,nan,nan,nan,25.5882,1,0
1,11,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,12,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,13,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,14,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,15,1,145.5,nan,nan,nan,45.1913,nan,nan,nan,0.0944387,61.8406,nan,nan,nan,0.0426781,nan,nan,nan,16.149,1,0
1,16,1,340.5,nan,nan,nan,49.4552,nan,nan,nan,0.0913765,157.037,nan,nan,nan,0.0451904,nan,nan,nan,36.7333,1,0
1,17,1,2066,nan,nan,nan,48.3705,nan,nan,nan,0.0921622,319.446,nan,nan,nan,0.0445794,nan,nan,nan,202.204,1,0
1,18,1,1721,nan,nan,nan,39.9631,nan,nan,nan,0.0980641,419.813,nan,nan,nan,0.0391895,nan,nan,nan,185.145,1,0
1,19,1,1850.5,nan,nan,nan,30.3439,nan,nan,nan,0.104375,383.144,nan,nan,nan,0.0316715,nan,nan,nan,209.376,1,0
1,20,1,2411.5,nan,nan,nan,30.5122,nan,nan,nan,0.109448,268.149,nan,nan,nan,0.033395,nan,nan,nan,276.247,1,0
1,21,1,2677,nan,nan,nan,27.8518,nan,nan,nan,0.115871,262.049,nan,nan,nan,0.0322723,nan,nan,nan,322.702,1,0
1,22,1,2772,nan,nan,nan,30.4171,nan,nan,nan,0.123262,254.25,nan,nan,nan,0.0374926,nan,nan,nan,354.871,1,0
1,23,1,2746.5,nan,nan,nan,32.9987,nan,nan,nan,0.131445,248.007,nan,nan,nan,0.0433751,nan,nan,nan,374.749,1,0
1,24,1,2648.5,nan,nan,nan,35.3774,nan,nan,nan,0.141154,245.037,nan,nan,nan,0.0499365,nan,nan,nan,388.737,1,0
1,25,1,2795,nan,nan,nan,36.2564,nan,nan,nan,0.153509,233.196,nan,nan,nan,0.0556568,nan,nan,nan,445.329,1,0
1,26,1,2403,nan,nan,nan,34.3303,nan,nan,nan,0.171307,247.137,nan,nan,nan,0.0588104,nan,nan,nan,430.153,1,0
1,27,1,2521,nan,nan,nan,32.5218,nan,nan,nan,0.179779,267.764,nan,nan,nan,0.0584674,nan,nan,nan,473.898,1,0
1,28,1,2712,nan,nan,nan,31.289,nan,nan,nan,0.187364,259.764,nan,nan,nan,0.0586245,nan,nan,nan,528.929,1,0
1,29,1,2879,nan,nan,nan,30.3845,nan,nan,nan,0.196472,259.764,nan,nan,nan,0.0596971,nan,nan,nan,587.451,1,0
1,30,1,2706,nan,nan,nan,28.6793,nan,nan,nan,0.212869,272.593,nan,nan,nan,0.0610493,nan,nan,nan,600.929,1,0
1,31,1,2831.5,nan,nan,nan,28.1681,nan,nan,nan,0.221405,250.693,nan,nan,nan,0.0623657,nan,nan,nan,650.71,1,0
1,32,1,2741,nan,nan,nan,26.6823,nan,nan,nan,0.234217,259.622,nan,nan,nan,0.0624945,nan,nan,nan,668.455,1,0
1,33,1,1279.5,nan,nan,nan,24.1064,nan,nan,nan,0.263833,141.296,nan,nan,nan,0.0636006,nan,nan,nan,353.8,1,0
1,34,1,1315.5,nan,nan,nan,25.1873,nan,nan,nan,0.270845,143.782,nan,nan,nan,0.0682184,nan,nan,nan,372.953,1,0
1,35,1,2471.5,nan,nan,nan,24.6094,nan,nan,nan,0.26924,266.208,nan,nan,nan,0.0662582,nan,nan,nan,696.792,1,0
1,36,1,1354,nan,nan,nan,25.2037,nan,nan,nan,0.29414,145.539,nan,nan,nan,0.0741341,nan,nan,nan,416.796,1,0
1,37,1,1477.5,nan,nan,nan,26.5287,nan,nan,nan,0.300102,150.468,nan,nan,nan,0.079613,nan,nan,nan,463.357,1,0
1,38,1,1398,nan,nan,nan,26.9482,nan,nan,nan,0.317073,148.368,nan,nan,nan,0.0854456,nan,nan,nan,463.561,1,0
1,39,1,787,nan,nan,nan,18.1044,nan,nan,nan,0.386149,138.368,nan,nan,nan,0.0699098,nan,nan,nan,326.682,1,0
1,40,1,2770,nan,nan,nan,26.0503,nan,nan,nan,0.323039,249.48,nan,nan,nan,0.0841525,nan,nan,nan,930.353,1,0
1,41,1,942,nan,nan,nan,19.1697,nan,nan,nan,0.402878,146.225,nan,nan,nan,0.0772306,nan,nan,nan,405.698,1,0
1,42,1,1020,nan,nan,nan,19.5901,nan,nan,nan,0.409465,155.539,nan,nan,nan,0.0802145,nan,nan,nan,445.498,1,0
1,43,1,972,nan,nan,nan,19.7175,nan,nan,nan,0.431225,151.054,nan,nan,nan,0.0850269,nan,nan,nan,448.043,1,0
1,44,1,1014.5,nan,nan,nan,20.0285,nan,nan,nan,0.443963,154.468,nan,nan,nan,0.0889191,nan,nan,nan,480.812,1,0
1,45,1,975.5,nan,nan,nan,18.9475,nan,nan,nan,0.459576,148.811,nan,nan,nan,0.0870783,nan,nan,nan,478.878,1,0
1,46,1,1019,nan,nan,nan,19.2695,nan,nan,nan,0.470232,159.539,nan,nan,nan,0.0906115,nan,nan,nan,512.082,1,0
1,47,1,1008,nan,nan,nan,17.5136,nan,nan,nan,0.492104,150.368,nan,nan,nan,0.0861849,nan,nan,nan,528.027,1,0
1,48,1,1671,nan,nan,nan,26.9921,nan,nan,nan,0.429682,159.196,nan,nan,nan,0.11598,nan,nan,nan,747.647,1,0
1,49,1,2984.5,nan,nan,nan,27.5558,nan,nan,nan,0.435966,270.551,nan,nan,nan,0.120134,nan,nan,nan,1353.24,1,0
1,50,1,2658,nan,nan,nan,22.8295,nan,nan,nan,0.470137,289.137,nan,nan,nan,0.10733,nan,nan,nan,1310.27,1,0
1,51,1,2995,nan,nan,nan,26.8446,nan,nan,nan,0.454611,263.966,nan,nan,nan,0.122038,nan,nan,nan,1414.29,1,0
1,52,1,2767.5,nan,nan,nan,23.7399,nan,nan,nan,0.433344,277.522,nan,nan,nan,0.102876,nan,nan,nan,1251.5,1,0
1,53,1,3017.5,nan,nan,nan,26.0097,nan,nan,nan,0.423035,277.522,nan,nan,nan,0.11003,nan,nan,nan,1327.48,1,0
1,54,1,2105.5,nan,nan,nan,30.8535,nan,nan,nan,0.439025,175.924,nan,nan,nan,0.135455,nan,nan,nan,957.514,1,0
1,55,1,3657,nan,nan,nan,22.0362,nan,nan,nan,0.32554,243.137,nan,nan,nan,0.0717367,nan,nan,nan,1225.01,1,0
1,56,1,3859.5,nan,nan,nan,20.8942,nan,nan,nan,0.320814,243.38,nan,nan,nan,0.0670314,nan,nan,nan,1272.03,1,0
2,57,1,154,nan,nan,nan,36.0837,nan,nan,nan,0.157843,74.5685,nan,nan,nan,0.0569556,nan,nan,nan,29.0431,1,1
2,58,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,1
2,59,1,152,nan,nan,nan,36.0139,nan,nan,nan,0.158834,100.711,nan,nan,nan,0.0572022,nan,nan,nan,30.6549,1,1
2,60,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,1
2,61,1,46.5,nan,nan,nan,35.1475,nan,nan,nan,0.166464,27.2132,nan,nan,nan,0.0585079,nan,nan,nan,9.6549,1,1
2,62,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,1
2,63,1,86,nan,nan,nan,35.1092,nan,nan,nan,0.16672,62.0833,nan,nan,nan,0.058534,nan,nan,nan,18.5059,1,1
2,64,1,150.5,nan,nan,nan,35.7537,nan,nan,nan,0.161704,71.1543,nan,nan,nan,0.0578152,nan,nan,nan,28.9451,1,1
2,65,1,98,nan,nan,nan,35.658,nan,nan,nan,0.162579,49.598,nan,nan,nan,0.0579724,nan,nan,nan,19.1843,1,1
2,66,1,50,nan,nan,nan,34.2721,nan,nan,nan,0.171615,28.9706,nan,nan,nan,0.0588161,nan,nan,nan,10.8118,1,1
2,67,1,31.5,nan,nan,nan,35.2137,nan,nan,nan,0.166013,32.8701,nan,nan,nan,0.0584593,nan,nan,nan,7.47059,1,1
2,68,1,53.5,nan,nan,nan,34.7114,nan,nan,nan,0.169188,42.1838,nan,nan,nan,0.0587274,nan,nan,nan,11.8431,1,1
2,69,1,136,nan,nan,nan,34.8223,nan,nan,nan,0.16853,61.2548,nan,nan,nan,0.0586861,nan,nan,nan,27.1333,1,1
2,70,1,161,nan,nan,nan,34.7919,nan,nan,nan,0.168713,54.7696,nan,nan,nan,0.0586983,nan,nan,nan,31.0431,1,1
2,71,1,131,nan,nan,nan,34.3082,nan,nan,nan,0.171425,63.2548,nan,nan,nan,0.0588128,nan,nan,nan,26.9137,1,1
2,72,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,1
2,73,1,65.5,nan,nan,nan,33.8068,nan,nan,nan,0.17395,45.3553,nan,nan,nan,0.0588069,nan,nan,nan,14.6118,1,1
2,74,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,1
2,75,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,1
2,76,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,1
2,77,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,1
2,78,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,1
2,79,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,1
2,80,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,1
2,81,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,1
2,82,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,1
2,83,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,1
2,84,1,42.5,nan,nan,nan,18.1189,nan,nan,nan,0.216399,28.3848,nan,nan,nan,0.0392092,nan,nan,nan,11.902,1,1
2,85,1,88,nan,nan,nan,9.9258,nan,nan,nan,0.226891,39.4558,nan,nan,nan,0.0225207,nan,nan,nan,23.8235,1,1
2,86,1,229,nan,nan,nan,10.2856,nan,nan,nan,0.234577,64.7696,nan,nan,nan,0.0241276,nan,nan,nan,60.2863,1,1
2,87,1,108,nan,nan,nan,17.512,nan,nan,nan,0.25113,52.2843,nan,nan,nan,0.0439779,nan,nan,nan,32.898,1,1
2,88,1,44.5,nan,nan,nan,20.6328,nan,nan,nan,0.273803,38.8701,nan,nan,nan,0.056493,nan,nan,nan,16.702,1,1
2,89,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,1
2,90,1,169,nan,nan,nan,19.4583,nan,nan,nan,0.298944,60.7696,nan,nan,nan,0.0581694,nan,nan,nan,58.2941,1,1
2,91,1,151,nan,nan,nan,14.6036,nan,nan,nan,0.324955,57.1127,nan,nan,nan,0.0474552,nan,nan,nan,57.1922,1,1
2,92,1,206,nan,nan,nan,8.56444,nan,nan,nan,0.344475,62.7696,nan,nan,nan,0.0295024,nan,nan,nan,80.2627,1,1
2,93,1,1601.5,nan,nan,nan,26.2377,nan,nan,nan,0.397463,228.551,nan,nan,nan,0.104285,nan,nan,nan,675.686,1,1
2,94,1,1777.5,nan,nan,nan,26.1934,nan,nan,nan,0.40004,226.409,nan,nan,nan,0.104784,nan,nan,nan,750.875,1,1
2,95,1,1789.5,nan,nan,nan,24.5442,nan,nan,nan,0.415029,232.894,nan,nan,nan,0.101865,nan,nan,nan,784.82,1,1
2,96,1,941,nan,nan,nan,14.9323,nan,nan,nan,0.374397,121.882,nan,nan,nan,0.055906,nan,nan,nan,371.776,1,1
2,97,1,1027,nan,nan,nan,15.3738,nan,nan,nan,0.381748,129.539,nan,nan,nan,0.0586891,nan,nan,nan,413.051,1,1
2,98,1,1085,nan,nan,nan,15.4244,nan,nan,nan,0.390985,129.882,nan,nan,nan,0.0603072,nan,nan,nan,446.114,1,1
2,99,1,1123.5,nan,nan,nan,15.1198,nan,nan,nan,0.399605,132.125,nan,nan,nan,0.0604196,nan,nan,nan,471.533,1,1
2,100,1,1188.5,nan,nan,nan,15.4505,nan,nan,nan,0.403966,136.125,nan,nan,nan,0.0624146,nan,nan,nan,503.745,1,1
2,101,1,1177.5,nan,nan,nan,15.4013,nan,nan,nan,0.413573,136.125,nan,nan,nan,0.0636958,nan,nan,nan,511.176,1,1
2,102,1,1156.5,nan,nan,nan,14.7614,nan,nan,nan,0.422283,134.125,nan,nan,nan,0.0623346,nan,nan,nan,512.651,1,1
2,103,1,1314.5,nan,nan,nan,15.8182,nan,nan,nan,0.420332,141.296,nan,nan,nan,0.066489,nan,nan,nan,578.376,1,1
2,104,1,1367,nan,nan,nan,15.9823,nan,nan,nan,0.422158,144.711,nan,nan,nan,0.0674704,nan,nan,nan,603.686,1,1
2,105,1,1356.5,nan,nan,nan,15.6224,nan,nan,nan,0.432028,144.125,nan,nan,nan,0.0674933,nan,nan,nan,613.047,1,1
2,106,1,1313.5,nan,nan,nan,15.3549,nan,nan,nan,0.444911,141.296,nan,nan,nan,0.0683155,nan,nan,nan,611.753,1,1
2,107,1,1348,nan,nan,nan,15.4889,nan,nan,nan,0.444565,140.711,nan,nan,nan,0.0688583,nan,nan,nan,626.392,1,1
2,108,1,1382,nan,nan,nan,16.252,nan,nan,nan,0.449968,144.711,nan,nan,nan,0.0731288,nan,nan,nan,650.204,1,1
2,109,1,1271.5,nan,nan,nan,15.1064,nan,nan,nan,0.464443,142.125,nan,nan,nan,0.0701606,nan,nan,nan,619.102,1,1
2,110,1,1321.5,nan,nan,nan,15.8943,nan,nan,nan,0.478278,140.953,nan,nan,nan,0.0760189,nan,nan,nan,660.98,1,1
2,111,1,1252,nan,nan,nan,15.4636,nan,nan,nan,0.493965,138.368,nan,nan,nan,0.0763847,nan,nan,nan,647.588,1,1
2,112,1,1561.5,nan,nan,nan,21.5497,nan,nan,nan,0.469514,152.125,nan,nan,nan,0.101179,nan,nan,nan,764.369,1,1
2,113,1,1593,nan,nan,nan,22.0284,nan,nan,nan,0.473114,154.711,nan,nan,nan,0.104219,nan,nan,nan,785.843,1,1
2,114,1,1651,nan,nan,nan,22.1779,nan,nan,nan,0.473096,157.539,nan,nan,nan,0.104923,nan,nan,nan,813.725,1,1
2,115,1,1680,nan,nan,nan,22.2337,nan,nan,nan,0.472593,156.024,nan,nan,nan,0.105075,nan,nan,nan,825.62,1,1
2,116,1,1692,nan,nan,nan,20.7779,nan,nan,nan,0.475517,157.196,nan,nan,nan,0.0988022,nan,nan,nan,836.91,1,1
2,117,1,1721,nan,nan,nan,20.4858,nan,nan,nan,0.475868,156.711,nan,nan,nan,0.0974854,nan,nan,nan,851.804,1,1
2,118,1,1822,nan,nan,nan,21.9649,nan,nan,nan,0.47262,162.368,nan,nan,nan,0.103811,nan,nan,nan,894.671,1,1
2,119,1,1874.5,nan,nan,nan,21.5679,nan,nan,nan,0.472504,166.61,nan,nan,nan,0.101909,nan,nan,nan,919.965,1,1
