Name:
HDR-T;HDR-CE;HDR-SE;HDR-V;FSC-A;SSC-A;V1-A;B1-A;R1-A
Username:
HDR-T;HDR-CE;HDR-SE;HDR-V;FSC-A;SSC-A;V1 VioBlue-A;B1 FITC-A;R1 APC-A
Id:
0;0;0;0;1;2;3;5;8
Resolution:
4;4;4;4;4;4;4;4;4
Data min:
0.;0.;0.;0.;0.;0.;0.;0.;0.
Data max:
40.48320007324219;1000.;1000.;25.;1000.;1000.;1000.;1000.;1000.
Format:
Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear
Scale:
Linear;Linear;Linear;Linear;Hyperlogarithmic;Hyperlogarithmic;Hyperlogarithmic;Hyperlogarithmic;Hyperlogarithmic
Data factor:
2.470160461962223e-002;1.000000047497451e-003;1.000000047497451e-003;3.999999910593033e-002;1.000000047497451e-003;1.000000047497451e-003;1.000000047497451e-003;1.000000047497451e-003;1.000000047497451e-003
Gain:
1.;1.;1.;1.;1.;1.;1.;1.;1.
Data:
9.760713204741478e-003;1.700000029813964e-005;1.700000029813964e-005;7.439999841153622e-003;6.730113923549652e-002;1.724291034042835e-002;1.613550446927548e-002;3.157451748847961e-002;1.650988310575485e-002
9.838728234171867e-003;1.733333374431822e-005;1.733333374431822e-005;7.439999841153622e-003;4.839988797903061e-002;1.066712010651827e-002;1.002397760748863e-002;4.455070942640305e-003;9.258737787604332e-003
9.953556582331657e-003;1.766666719049681e-005;1.766666719049681e-005;7.439999841153622e-003;6.451766937971115e-002;1.713886857032776e-002;1.279381755739451e-002;2.175244875252247e-002;1.613183878362179e-002
1.004798989742994e-002;1.833333408285398e-005;1.833333408285398e-005;7.439999841153622e-003;5.014621838927269e-002;1.100083254277706e-002;9.505961090326309e-003;5.493180942721665e-004;2.271675737574697e-003
1.033205818384886e-002;1.866666571004316e-005;1.866666571004316e-005;7.439999841153622e-003;6.545496731996536e-002;1.237063482403755e-002;1.24947726726532e-002;2.151508070528507e-002;7.003359030932188e-003
1.046601682901382e-002;1.933333260240033e-005;1.933333260240033e-005;7.439999841153622e-003;5.06255254149437e-002;1.200882811099291e-002;9.987639263272286e-003;7.683810545131564e-004;3.219932783395052e-003
1.053953915834427e-002;1.966666604857892e-005;1.966666604857892e-005;7.439999841153622e-003;8.05409848690033e-002;1.7569525167346e-002;1.947291009128094e-002;3.674941509962082e-002;3.408725187182427e-002
1.064103376120329e-002;2.033333294093609e-005;2.033333294093609e-005;7.439999841153622e-003;8.374226838350296e-002;1.766448654234409e-002;1.919585093855858e-002;5.252101644873619e-002;3.074419498443604e-002
1.067782565951347e-002;2.099999983329326e-005;2.099999983329326e-005;7.439999841153622e-003;5.478613078594208e-002;9.980094619095326e-003;1.050310209393501e-002;-8.81066735018976e-005;3.554560244083405e-003
1.079136971384287e-002;2.133333327947184e-005;2.133333327947184e-005;7.439999841153622e-003;7.596170157194138e-002;1.519346609711647e-002;1.960180141031742e-002;4.235655814409256e-002;6.574895232915878e-002
1.087694242596626e-002;2.166666672565043e-005;2.166666672565043e-005;7.439999841153622e-003;6.022375449538231e-002;1.121727470308542e-002;1.059132348746061e-002;1.363389892503619e-003;5.353639833629131e-003
1.110024191439152e-002;2.266666706418619e-005;2.266666706418619e-005;8.27999971807003e-003;5.448254942893982e-002;1.117573026567698e-002;1.013638265430927e-002;7.100988295860589e-004;3.884956706315279e-003
1.135153416544199e-002;2.366666740272194e-005;2.366666740272194e-005;8.27999971807003e-003;4.756395891308785e-002;1.076930016279221e-002;1.010878570377827e-002;6.18780090007931e-004;9.919312782585621e-003
1.137629710137844e-002;2.400000084890053e-005;2.400000084890053e-005;8.27999971807003e-003;5.300755053758621e-002;1.337541081011295e-002;1.476874854415655e-002;2.0362239331007e-002;9.963022544980049e-003
1.165077835321426e-002;2.433333247608971e-005;2.433333247608971e-005;8.27999971807003e-003;6.57031238079071e-002;1.321138441562653e-002;9.866395965218544e-003;3.139859065413475e-003;3.975742030888796e-003
1.176877412945032e-002;2.499999936844688e-005;2.499999936844688e-005;8.27999971807003e-003;5.479823797941208e-002;1.048839464783669e-002;9.766501374542713e-003;8.034518104977906e-004;5.873920395970345e-003
1.199476514011622e-002;2.533333281462546e-005;2.533333281462546e-005;8.27999971807003e-003;6.724143773317337e-002;1.668133400380611e-002;1.719050295650959e-002;3.318528458476067e-002;1.179384626448154e-002
1.206360850483179e-002;2.566666626080405e-005;2.566666626080405e-005;8.27999971807003e-003;5.629850178956986e-002;1.398467179387808e-002;9.948199614882469e-003;9.884287137538195e-004;5.996281281113625e-003
1.208137348294258e-002;2.599999970698264e-005;2.599999970698264e-005;8.27999971807003e-003;5.314164608716965e-002;1.180866919457912e-002;9.960483759641647e-003;5.67469687666744e-004;5.267050582915545e-003
1.212532911449671e-002;2.633333315316122e-005;2.633333315316122e-005;8.27999971807003e-003;6.339605897665024e-002;1.417933125048876e-002;1.007943600416184e-002;1.378027023747563e-003;4.668856970965862e-003
1.22194942086935e-002;2.700000004551839e-005;2.700000004551839e-005;8.27999971807003e-003;4.758100211620331e-002;1.027934439480305e-002;9.796809405088425e-003;6.010708166286349e-004;1.939061796292663e-003
1.259108074009419e-002;2.800000038405415e-005;2.800000038405415e-005;8.27999971807003e-003;7.864614576101303e-002;1.778855174779892e-002;1.837333291769028e-002;5.689939856529236e-002;2.860203944146633e-002
1.266526523977518e-002;2.866666727641132e-005;2.866666727641132e-005;8.27999971807003e-003;7.143402099609375e-002;1.976007968187332e-002;1.68788880109787e-002;5.23558147251606e-002;3.852240368723869e-002
1.275528874248266e-002;2.966666579595767e-005;2.966666579595767e-005;8.27999971807003e-003;6.612192094326019e-002;1.589845307171345e-002;9.720065630972385e-003;1.124084345065057e-003;6.670127157121897e-003
1.311000157147646e-002;3.066666613449343e-005;3.066666613449343e-005;8.27999971807003e-003;4.901055619120598e-002;1.03522464632988e-002;9.558281861245632e-003;9.920859010890126e-004;2.162727760151029e-003
1.314447447657585e-002;3.099999958067201e-005;3.099999958067201e-005;8.27999971807003e-003;6.246918439865112e-002;1.343321800231934e-002;1.189167890697718e-002;1.076996978372335e-002;5.829700268805027e-003
1.316401921212673e-002;3.13333330268506e-005;3.13333330268506e-005;9.959999471902847e-003;7.654515653848648e-002;1.730680651962757e-002;1.879326812922955e-002;4.585740715265274e-002;1.799933984875679e-002
1.349034532904625e-002;3.199999991920777e-005;3.199999991920777e-005;9.959999471902847e-003;7.508952170610428e-002;1.372077316045761e-002;1.819485612213612e-002;6.20327927172184e-002;5.181730166077614e-002
1.357034873217344e-002;3.233333336538635e-005;3.233333336538635e-005;9.959999471902847e-003;5.765011534094811e-002;1.154612842947245e-002;9.47844423353672e-003;9.675630717538297e-004;3.385279327630997e-003
1.361020468175411e-002;3.266666681156494e-005;3.266666681156494e-005;9.959999471902847e-003;5.984907597303391e-002;1.095251739025116e-002;1.023212727159262e-002;1.085464470088482e-002;6.730219349265099e-003
1.368511468172073e-002;3.300000025774352e-005;3.300000025774352e-005;9.959999471902847e-003;5.041640996932983e-002;9.353798814117909e-003;9.514831006526947e-003;1.488655898720026e-002;1.053779106587172e-002
1.369242276996374e-002;3.333333370392211e-005;3.333333370392211e-005;9.959999471902847e-003;6.66835755109787e-002;1.687126979231834e-002;1.947312988340855e-002;5.255007743835449e-002;1.318001747131348e-002
1.375704258680344e-002;3.366666715010069e-005;3.366666715010069e-005;9.959999471902847e-003;6.127074360847473e-002;1.499148458242416e-002;9.50220599770546e-003;3.001241246238351e-003;1.08534898608923e-002
1.375880185514689e-002;3.433333404245786e-005;3.433333404245786e-005;9.959999471902847e-003;7.379311323165894e-002;1.427736226469278e-002;1.656443066895008e-002;3.413350507616997e-002;2.335330843925476e-002
1.395601406693459e-002;3.500000093481503e-005;3.500000093481503e-005;9.959999471902847e-003;7.659450173377991e-002;1.867441274225712e-002;1.190158724784851e-002;1.485336665064097e-002;1.186690572649241e-002
1.412380486726761e-002;3.566666782717221e-005;3.566666782717221e-005;9.959999471902847e-003;6.358193606138229e-002;1.185590773820877e-002;1.143303234130144e-002;1.946408674120903e-002;5.594011396169663e-003
1.42486747354269e-002;3.600000127335079e-005;3.600000127335079e-005;9.959999471902847e-003;5.424307659268379e-002;1.634600386023521e-002;9.550456888973713e-003;2.45653185993433e-003;2.565761096775532e-003
1.45845664665103e-002;3.633333471952938e-005;3.633333471952938e-005;9.959999471902847e-003;5.969139933586121e-002;1.441861223429442e-002;1.000339444726706e-002;2.680646488443017e-003;7.744955830276012e-003
1.468947622925043e-002;3.666666816570796e-005;3.666666816570796e-005;9.959999471902847e-003;4.86236959695816e-002;1.148138381540775e-002;9.964532218873501e-003;7.158276275731623e-004;5.146374460309744e-003
1.495286077260971e-002;3.700000161188655e-005;3.700000161188655e-005;9.959999471902847e-003;8.028684556484222e-002;1.644453965127468e-002;1.562574692070484e-002;3.041098080575466e-002;1.456938870251179e-002
1.544910948723555e-002;3.766666486626491e-005;3.766666486626491e-005;9.959999471902847e-003;5.77329732477665e-002;1.268614828586578e-002;1.007586438208818e-002;6.714431568980217e-003;6.281530484557152e-003
1.551054045557976e-002;3.866666520480067e-005;3.866666520480067e-005;9.959999471902847e-003;4.956069216132164e-002;9.926421567797661e-003;1.044871658086777e-002;3.80717683583498e-003;3.630587831139565e-003
1.572222448885441e-002;3.899999865097925e-005;3.899999865097925e-005;9.959999471902847e-003;7.367483526468277e-002;1.927635446190834e-002;1.533497497439385e-002;3.401234000921249e-002;1.730210334062576e-002
1.643980666995049e-002;4.066666588187218e-005;4.066666588187218e-005;9.959999471902847e-003;6.407099217176437e-002;1.212046016007662e-002;1.238061208277941e-002;1.405925955623388e-002;5.182100925594568e-003
1.648612320423126e-002;4.099999932805076e-005;4.099999932805076e-005;9.959999471902847e-003;5.401556193828583e-002;1.174543984234333e-002;1.135033927857876e-002;7.10021355189383e-004;2.20812764018774e-003
1.649448834359646e-002;4.133333277422935e-005;4.133333277422935e-005;9.959999471902847e-003;5.334251001477242e-002;1.493429206311703e-002;9.512905962765217e-003;1.016001589596272e-002;7.293262053281069e-003
1.701220870018005e-002;4.199999966658652e-005;4.199999966658652e-005;1.15999998524785e-002;6.471714377403259e-002;1.764280907809734e-002;9.235971607267857e-003;1.182113424874842e-003;4.575297236442566e-003
1.767372153699398e-002;4.23333331127651e-005;4.23333331127651e-005;1.15999998524785e-002;6.154907867312431e-002;1.92523431032896e-002;1.814979501068592e-002;6.106288731098175e-002;2.377433888614178e-002
1.790232211351395e-002;4.266666655894369e-005;4.266666655894369e-005;1.15999998524785e-002;5.90185858309269e-002;1.454290747642517e-002;1.132063288241625e-002;3.264316543936729e-002;6.605861708521843e-003
1.800642535090447e-002;4.300000000512227e-005;4.300000000512227e-005;1.15999998524785e-002;5.143431201577187e-002;1.455444283783436e-002;9.794694371521473e-003;1.696067629382014e-003;2.958083059638739e-003
1.857689954340458e-002;4.366666689747945e-005;4.366666689747945e-005;1.15999998524785e-002;5.128337442874908e-002;1.080398261547089e-002;1.052761077880859e-002;6.995182484388351e-004;2.287188312038779e-003
1.8643693998456e-002;4.433333378983662e-005;4.433333378983662e-005;1.15999998524785e-002;7.213104516267777e-002;2.002459205687046e-002;9.416705928742886e-003;9.373601642437279e-004;2.785130171105266e-003
1.8924904987216e-002;4.500000068219379e-005;4.500000068219379e-005;1.15999998524785e-002;5.913424119353294e-002;1.346834748983383e-002;1.098568364977837e-002;1.038700062781572e-002;6.886709947139025e-003
