Name:
HDR-T;HDR-CE;HDR-SE;HDR-V;FSC-A;SSC-A;V1-A;B1-A;R1-A
Username:
HDR-T;HDR-CE;HDR-SE;HDR-V;FSC-A;SSC-A;V1 VioBlue-A;B1 FITC-A;R1 APC-A
Id:
0;0;0;0;1;2;3;5;8
Resolution:
4;4;4;4;4;4;4;4;4
Data min:
0.;0.;0.;0.;0.;0.;0.;0.;0.
Data max:
40.48320007324219;1000.;1000.;25.;1000.;1000.;1000.;1000.;1000.
Format:
Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear
Scale:
Linear;Linear;Linear;Linear;Hyperlogarithmic;Hyperlogarithmic;Hyperlogarithmic;Hyperlogarithmic;Hyperlogarithmic
Data factor:
2.470160461962223e-002;1.000000047497451e-003;1.000000047497451e-003;3.999999910593033e-002;1.000000047497451e-003;1.000000047497451e-003;1.000000047497451e-003;1.000000047497451e-003;1.000000047497451e-003
Gain:
1.;1.;1.;1.;1.;1.;1.;1.;1.
Data:
6.298718601465225e-002;1.5999999595806e-004;1.5999999595806e-004;4.243999719619751e-002;6.622283905744553e-002;1.320710685104132e-002;9.369155392050743e-003;1.324074575677514e-003;5.348988808691502e-003
6.328319758176804e-002;1.603333366801962e-004;1.603333366801962e-004;4.243999719619751e-002;5.513080209493637e-002;1.088756043463945e-002;9.669207967817783e-003;8.633096585981548e-004;3.172782016918063e-003
6.334821134805679e-002;1.610000035725534e-004;1.610000035725534e-004;4.243999719619751e-002;5.092278867959976e-002;1.182397175580263e-002;9.86786000430584e-003;5.768889677710831e-004;2.590845106169581e-003
6.374307721853256e-002;1.623333373572677e-004;1.623333373572677e-004;4.243999719619751e-002;5.547221750020981e-002;1.045036036521196e-002;9.775019250810146e-003;1.259833225049079e-003;4.164028447121382e-003
6.388483941555023e-002;1.626666635274887e-004;1.626666635274887e-004;4.243999719619751e-002;5.16788549721241e-002;1.19273979216814e-002;9.55859012901783e-003;1.190049457363784e-003;3.825839841738343e-003
6.400055438280106e-002;1.630000042496249e-004;1.630000042496249e-004;4.243999719619751e-002;7.521186769008637e-002;1.876520179212093e-002;1.876198686659336e-002;5.599730089306831e-002;3.199167177081108e-002
6.454608589410782e-002;1.633333304198459e-004;1.633333304198459e-004;4.243999719619751e-002;5.789594352245331e-002;1.334012299776077e-002;9.016797877848148e-003;6.145467050373554e-004;2.165547339245677e-003
6.497131288051605e-002;1.650000049266964e-004;1.650000049266964e-004;4.243999719619751e-002;5.404415726661682e-002;1.356485951691866e-002;1.171813346445561e-002;1.354602910578251e-002;7.62430252507329e-003
6.513796746730804e-002;1.653333310969174e-004;1.653333310969174e-004;4.243999719619751e-002;5.388583242893219e-002;9.890676476061344e-003;8.912988007068634e-003;4.762307507917285e-004;2.082099672406912e-003
6.514818966388702e-002;1.656666718190536e-004;1.656666718190536e-004;4.243999719619751e-002;6.765858829021454e-002;1.984157040715218e-002;9.576022624969482e-003;2.436267910525203e-003;6.610150914639235e-003
6.529210507869721e-002;1.659999979892746e-004;1.659999979892746e-004;4.243999719619751e-002;6.266927719116211e-002;1.258305087685585e-002;1.06377424672246e-002;7.127772551029921e-003;7.635047193616629e-003
6.532415747642517e-002;1.663333387114108e-004;1.663333387114108e-004;4.243999719619751e-002;6.586883217096329e-002;1.899045892059803e-002;1.708540692925453e-002;3.800875321030617e-002;1.1979547329247e-002
6.534422188997269e-002;1.666666648816317e-004;1.666666648816317e-004;4.243999719619751e-002;6.183182075619698e-002;1.695865392684937e-002;1.744848303496838e-002;3.079622611403465e-002;1.094689965248108e-002
6.540776789188385e-002;1.670000056037679e-004;1.670000056037679e-004;4.411999881267548e-002;5.227074399590492e-002;1.000768225640059e-002;9.741215966641903e-003;8.325651288032532e-004;7.257218938320875e-003
6.569535285234451e-002;1.673333317739889e-004;1.673333317739889e-004;4.411999881267548e-002;5.618018284440041e-002;1.253228634595871e-002;8.778449147939682e-003;1.117549254558981e-003;4.094266798347235e-003
6.577254086732864e-002;1.676666724961251e-004;1.676666724961251e-004;4.411999881267548e-002;6.438033282756805e-002;1.331328041851521e-002;9.662710130214691e-003;9.191454737447202e-004;9.088797494769096e-003
6.580448895692825e-002;1.679999986663461e-004;1.679999986663461e-004;4.411999881267548e-002;6.69795572757721e-002;1.971028000116348e-002;1.984349824488163e-002;7.05617219209671e-002;6.346039474010468e-002
6.582633405923843e-002;1.683333393884823e-004;1.683333393884823e-004;4.411999881267548e-002;7.234551757574081e-002;1.622847467660904e-002;1.847090385854244e-002;5.449377745389938e-002;3.144563362002373e-002
6.595271080732346e-002;1.690000062808394e-004;1.690000062808394e-004;4.411999881267548e-002;5.192805454134941e-002;1.096619945019484e-002;1.006881147623062e-002;1.93662557285279e-003;2.84070847555995e-003
6.612928211688995e-002;1.696666731731966e-004;1.696666731731966e-004;4.411999881267548e-002;5.947656184434891e-002;1.401871349662542e-002;2.048544771969318e-002;6.253822892904282e-002;2.50887218862772e-002
6.625622510910034e-002;1.699999993434176e-004;1.699999993434176e-004;4.411999881267548e-002;6.338060647249222e-002;1.311922539025545e-002;9.874914772808552e-003;1.191444927826524e-003;4.30712616071105e-003
6.646500527858734e-002;1.703333400655538e-004;1.703333400655538e-004;4.411999881267548e-002;5.632850155234337e-002;9.925532154738903e-003;9.71655361354351e-003;5.716441082768142e-004;4.764138255268335e-003
6.646662950515747e-002;1.706666662357748e-004;1.706666662357748e-004;4.411999881267548e-002;7.441762834787369e-002;1.713737845420837e-002;1.855380088090897e-002;8.162128180265427e-002;3.438610583543778e-002
6.699957698583603e-002;1.713333331281319e-004;1.713333331281319e-004;4.411999881267548e-002;5.843465775251389e-002;1.111241243779659e-002;9.456044994294643e-003;5.529736517928541e-004;3.348768455907702e-003
6.707412004470825e-002;1.716666592983529e-004;1.716666592983529e-004;4.411999881267548e-002;5.091958120465279e-002;1.256702188402414e-002;9.406013414263725e-003;7.549386355094612e-004;2.960906596854329e-003
6.761192530393601e-002;1.723333261907101e-004;1.723333261907101e-004;4.411999881267548e-002;5.29705360531807e-002;1.214799378067255e-002;9.594821371138096e-003;4.281995061319321e-004;2.405960578471422e-003
6.769378483295441e-002;1.729999930830672e-004;1.729999930830672e-004;4.411999881267548e-002;5.233190953731537e-002;8.87573417276144e-003;9.991792961955071e-003;1.228580804308876e-004;4.006477538496256e-003
6.773398071527481e-002;1.733333338052034e-004;1.733333338052034e-004;4.411999881267548e-002;6.597620248794556e-002;1.516235712915659e-002;1.007798779755831e-002;7.918444462120533e-003;8.396124467253685e-003
6.780994683504105e-002;1.736666599754244e-004;1.736666599754244e-004;4.411999881267548e-002;6.454245001077652e-002;1.452997326850891e-002;9.800373576581478e-003;1.871652784757316e-003;3.255545161664486e-003
6.798893213272095e-002;1.740000006975606e-004;1.740000006975606e-004;4.411999881267548e-002;5.170181393623352e-002;1.030889246612787e-002;9.092457592487335e-003;5.23849215824157e-004;1.288418541662395e-003
6.847147643566132e-002;1.75333334482275e-004;1.75333334482275e-004;4.411999881267548e-002;5.364622175693512e-002;1.246193610131741e-002;9.661906398832798e-003;1.000999473035336e-003;2.743450924754143e-003
6.851300597190857e-002;1.756666606524959e-004;1.756666606524959e-004;4.411999881267548e-002;5.281994119286537e-002;1.223045960068703e-002;9.492903016507626e-003;2.688850509002805e-003;2.465429017320275e-003
6.869668513536453e-002;1.760000013746321e-004;1.760000013746321e-004;4.743999987840653e-002;5.514463782310486e-002;1.075832638889551e-002;1.021770481020212e-002;1.062391209416091e-003;2.373766386881471e-003
6.921425461769104e-002;1.780000020517036e-004;1.780000020517036e-004;4.743999987840653e-002;6.287316232919693e-002;1.78328100591898e-002;9.807643480598927e-003;1.1773711303249e-003;3.829547436907888e-003
6.92356675863266e-002;1.786666689440608e-004;1.786666689440608e-004;4.743999987840653e-002;6.529226899147034e-002;1.179180108010769e-002;9.546888992190361e-003;1.181851257570088e-003;4.826665855944157e-003
6.938645988702774e-002;1.789999951142818e-004;1.789999951142818e-004;4.743999987840653e-002;6.136458739638329e-002;1.497438922524452e-002;9.766191244125366e-003;7.342044846154749e-004;2.67852726392448e-003
6.94192498922348e-002;1.79333335836418e-004;1.79333335836418e-004;4.743999987840653e-002;5.348319932818413e-002;1.125882007181644e-002;6.642502266913652e-003;2.07503535784781e-003;3.244041232392192e-003
6.94621279835701e-002;1.796666620066389e-004;1.796666620066389e-004;4.743999987840653e-002;7.146509736776352e-002;1.827049441635609e-002;1.852834038436413e-002;5.971042066812515e-002;1.741578616201878e-002
6.946900486946106e-002;1.800000027287751e-004;1.800000027287751e-004;4.743999987840653e-002;7.251898944377899e-002;1.798182539641857e-002;1.597143150866032e-002;3.808586671948433e-002;1.199608389288187e-002
6.9517582654953e-002;1.803333288989961e-004;1.803333288989961e-004;4.743999987840653e-002;7.563871145248413e-002;1.365387998521328e-002;1.065128576010466e-002;1.260631065815687e-002;1.495832111686468e-002
6.952561438083649e-002;1.806666696211323e-004;1.806666696211323e-004;4.743999987840653e-002;5.4096519947052e-002;1.406189985573292e-002;9.987222962081432e-003;1.441701781004667e-003;2.904808381572366e-003
6.954975426197052e-002;1.809999957913533e-004;1.809999957913533e-004;4.743999987840653e-002;5.559765174984932e-002;1.394263189285994e-002;9.763517417013645e-003;5.966624245047569e-003;7.672459818422794e-003
6.959486752748489e-002;1.813333365134895e-004;1.813333365134895e-004;4.743999987840653e-002;6.479532271623612e-002;1.806638017296791e-002;1.857985369861126e-002;4.200002551078796e-002;7.116049528121948e-002
6.963679939508438e-002;1.816666626837105e-004;1.816666626837105e-004;4.743999987840653e-002;5.261840298771858e-002;1.240528095513582e-002;9.251559153199196e-003;3.850720124319196e-003;3.604758763685823e-003
6.979649513959885e-002;1.826666702982038e-004;1.826666702982038e-004;4.743999987840653e-002;5.998604372143745e-002;1.191211212426424e-002;9.832513518631458e-003;9.40411991905421e-004;5.947234574705362e-003
7.082927972078323e-002;1.83666663360782e-004;1.83666663360782e-004;4.743999987840653e-002;6.902693212032318e-002;1.552056614309549e-002;1.676787808537483e-002;2.9155308380723e-002;1.494811568409205e-002
7.092119008302689e-002;1.843333302531391e-004;1.843333302531391e-004;4.743999987840653e-002;5.626320838928223e-002;1.074544060975313e-002;1.001834124326706e-002;1.173330121673644e-003;6.605284288525581e-003
7.103425264358521e-002;1.846666709752753e-004;1.846666709752753e-004;4.743999987840653e-002;8.2161083817482e-002;1.665026694536209e-002;1.794021017849445e-002;5.671914294362068e-002;5.23354709148407e-002
7.106809318065643e-002;1.849999971454963e-004;1.849999971454963e-004;4.743999987840653e-002;6.294502317905426e-002;1.876187697052956e-002;1.96272898465395e-002;1.008274615742266e-003;6.336497142910957e-003
7.146147638559341e-002;1.863333309302107e-004;1.863333309302107e-004;4.743999987840653e-002;5.527722090482712e-002;1.625763438642025e-002;9.855526499450207e-003;2.248493954539299e-003;4.765065386891365e-003
7.151226699352264e-002;1.866666716523469e-004;1.866666716523469e-004;4.743999987840653e-002;4.897575825452805e-002;9.182036854326725e-003;5.404589232057333e-003;8.887976873666048e-004;1.992951380088925e-003
7.164895534515381e-002;1.869999978225678e-004;1.869999978225678e-004;4.743999987840653e-002;6.665382534265518e-002;1.728035882115364e-002;1.394647359848023e-002;2.917445451021195e-002;7.995655760169029e-003
7.177902758121491e-002;1.87333338544704e-004;1.87333338544704e-004;4.743999987840653e-002;5.915037542581558e-002;1.413924153894186e-002;1.25155383720994e-002;1.742469891905785e-002;1.056750118732452e-002
7.206810265779495e-002;1.880000054370612e-004;1.880000054370612e-004;4.911999776959419e-002;6.928429752588272e-002;1.582797430455685e-002;1.173171401023865e-002;1.461515016853809e-002;1.846257410943508e-002
7.220908254384995e-002;1.883333316072822e-004;1.883333316072822e-004;4.911999776959419e-002;6.544552743434906e-002;1.363498438149691e-002;1.899941824376583e-002;3.997418656945229e-002;1.280706841498613e-002
7.222088426351547e-002;1.886666723294184e-004;1.886666723294184e-004;4.911999776959419e-002;5.606303736567497e-002;9.973349049687386e-003;9.973524138331413e-003;9.592673741281033e-004;1.594481058418751e-003
7.279589027166367e-002;1.896666653919965e-004;1.896666653919965e-004;4.911999776959419e-002;8.158208429813385e-002;1.662820391356945e-002;1.910934783518314e-002;4.679974541068077e-002;1.811220310628414e-002
7.302208989858627e-002;1.900000061141327e-004;1.900000061141327e-004;4.911999776959419e-002;6.284352391958237e-002;1.290397811681032e-002;9.868458844721317e-003;1.178630860522389e-003;3.874389920383692e-003
7.31167271733284e-002;1.903333322843537e-004;1.903333322843537e-004;4.911999776959419e-002;4.799884930253029e-002;1.003672368824482e-002;9.882157668471336e-003;1.495727803558111e-003;5.247514694929123e-003
7.315398007631302e-002;1.906666730064899e-004;1.906666730064899e-004;4.911999776959419e-002;7.369627803564072e-002;1.707803830504417e-002;1.999721862375736e-002;6.945814192295075e-002;4.509829357266426e-002
7.332632690668106e-002;1.909999991767108e-004;1.909999991767108e-004;4.911999776959419e-002;5.309539288282394e-002;1.145278755575419e-002;9.445182047784329e-003;5.257207085378468e-004;2.809223253279924e-003
7.345759123563767e-002;1.91666666069068e-004;1.91666666069068e-004;4.911999776959419e-002;6.696168333292007e-002;1.450581196695566e-002;1.357782725244761e-002;4.659045487642288e-002;1.194516383111477e-002
7.39765539765358e-002;1.923333329614252e-004;1.923333329614252e-004;5.079999938607216e-002;5.766823515295982e-002;1.043662149459124e-002;1.239457819610834e-002;1.636637933552265e-002;4.937237128615379e-003
7.467003911733627e-002;1.929999998537824e-004;1.929999998537824e-004;5.079999938607216e-002;7.253733277320862e-002;1.972950249910355e-002;1.773962005972862e-002;5.588483437895775e-002;4.136604070663452e-002
7.484354078769684e-002;1.933333260240033e-004;1.933333260240033e-004;5.079999938607216e-002;6.054545938968658e-002;1.742975041270256e-002;1.544570084661245e-002;2.634265273809433e-002;8.760263212025166e-003
7.484660297632217e-002;1.936666667461395e-004;1.936666667461395e-004;5.079999938607216e-002;5.785450711846352e-002;1.260393485426903e-002;9.337946772575378e-003;6.583847105503082e-003;4.408885259181261e-003
7.505669444799423e-002;1.939999929163605e-004;1.939999929163605e-004;5.079999938607216e-002;6.650165468454361e-002;1.892630383372307e-002;2.318094111979008e-002;5.016973614692688e-002;3.521393239498138e-002
7.55719318985939e-002;1.953333267010748e-004;1.953333267010748e-004;5.079999938607216e-002;5.363620072603226e-002;1.223816815763712e-002;9.515328332781792e-003;1.415483886376023e-003;3.795357188209891e-003
7.567932456731796e-002;1.95666667423211e-004;1.95666667423211e-004;5.079999938607216e-002;5.710240453481674e-002;1.297552417963743e-002;1.107663754373789e-002;1.615280471742153e-002;7.144676055759192e-003
7.621447741985321e-002;1.95999993593432e-004;1.95999993593432e-004;5.079999938607216e-002;4.899569600820541e-002;1.088262163102627e-002;1.050282642245293e-002;5.595472175627947e-004;2.191096544265747e-003
7.623257488012314e-002;1.963333343155682e-004;1.963333343155682e-004;5.079999938607216e-002;6.732986122369766e-002;1.241830550134182e-002;1.648943312466145e-002;4.111939668655396e-002;1.902478374540806e-002
7.632645219564438e-002;1.966666604857892e-004;1.966666604857892e-004;5.079999938607216e-002;5.799748748540878e-002;9.958806447684765e-003;9.284604340791702e-003;1.10101024620235e-003;2.466509118676186e-003
7.643171399831772e-002;1.970000012079254e-004;1.970000012079254e-004;5.079999938607216e-002;5.885937064886093e-002;1.058700028806925e-002;9.339586831629276e-003;5.275214789435267e-004;3.542682388797402e-003
7.681514322757721e-002;1.973333273781464e-004;1.973333273781464e-004;5.079999938607216e-002;5.831879377365112e-002;1.672058925032616e-002;1.318646874278784e-002;1.842806302011013e-002;1.524705160409212e-002
7.70694836974144e-002;1.976666681002826e-004;1.976666681002826e-004;5.079999938607216e-002;5.59728629887104e-002;1.016596890985966e-002;9.805486537516117e-003;7.112204330042005e-004;3.344841534271836e-003
7.722024619579315e-002;1.979999942705035e-004;1.979999942705035e-004;5.079999938607216e-002;6.178524717688561e-002;1.362068671733141e-002;9.582814760506153e-003;1.484170206822455e-003;2.631560666486621e-003
7.729815691709518e-002;1.986666611628607e-004;1.986666611628607e-004;5.079999938607216e-002;5.797604098916054e-002;1.689333096146584e-002;1.349877752363682e-002;2.653792500495911e-002;5.785971414297819e-003
7.730433344841003e-002;1.990000018849969e-004;1.990000018849969e-004;5.079999938607216e-002;5.321881547570229e-002;1.096232235431671e-002;1.039883401244879e-002;1.021165400743485e-003;5.428536329418421e-003
7.740508019924164e-002;1.993333280552179e-004;1.993333280552179e-004;5.079999938607216e-002;6.184728443622589e-002;1.264621317386627e-002;9.211351163685322e-003;5.696832668036223e-004;3.788476577028632e-003
7.763765752315521e-002;1.99999994947575e-004;1.99999994947575e-004;5.079999938607216e-002;5.880098044872284e-002;1.218142174184322e-002;1.060201227664948e-002;9.73381195217371e-003;2.777843968942761e-003
7.772546261548996e-002;2.006666618399322e-004;2.006666618399322e-004;5.079999938607216e-002;5.569581687450409e-002;1.132673490792513e-002;9.475170634686947e-003;7.48783873859793e-004;2.904868451878429e-003
7.786733657121658e-002;2.013333287322894e-004;2.013333287322894e-004;5.079999938607216e-002;6.792576611042023e-002;2.021588571369648e-002;1.722076162695885e-002;5.792789906263351e-002;1.534662768244743e-002
7.793153822422028e-002;2.016666694544256e-004;2.016666694544256e-004;5.243999883532524e-002;6.736227124929428e-002;1.31818363443017e-002;1.521117892116308e-002;3.180038556456566e-002;1.10533693805337e-002
7.806665450334549e-002;2.019999956246465e-004;2.019999956246465e-004;5.243999883532524e-002;5.006779357790947e-002;9.157960303127766e-003;9.917755611240864e-003;5.014606867916882e-004;2.094396622851491e-003
7.854478806257248e-002;2.033333294093609e-004;2.033333294093609e-004;5.243999883532524e-002;5.665033310651779e-002;1.119109056890011e-002;9.966819547116756e-003;3.467171918600798e-003;6.057458929717541e-003
7.880701869726181e-002;2.036666701314971e-004;2.036666701314971e-004;5.243999883532524e-002;5.604587495326996e-002;9.350527077913284e-003;9.292113594710827e-003;4.976823111064732e-004;1.736931037157774e-003
7.932181656360626e-002;2.043333370238543e-004;2.043333370238543e-004;5.412000045180321e-002;5.051818117499352e-002;1.100955065339804e-002;9.63923241943121e-003;9.794241486815736e-005;2.209991216659546e-003
7.952293753623962e-002;2.050000039162114e-004;2.050000039162114e-004;5.412000045180321e-002;6.665070354938507e-002;1.700081117451191e-002;1.843423023819923e-002;6.735900044441223e-002;3.183570131659508e-002
7.952747493982315e-002;2.053333300864324e-004;2.053333300864324e-004;5.412000045180321e-002;5.022653192281723e-002;9.594207629561424e-003;1.034385617822409e-002;1.022518961690366e-003;4.918849561363459e-003
7.970166206359863e-002;2.063333377009258e-004;2.063333377009258e-004;5.412000045180321e-002;8.013694733381271e-002;1.858742907643318e-002;1.70337837189436e-002;4.050560668110848e-002;1.255682203918695e-002
8.019890636205673e-002;2.073333307635039e-004;2.073333307635039e-004;5.412000045180321e-002;5.557428300380707e-002;1.195584703236818e-002;9.754872880876064e-003;6.643590168096125e-004;2.097285352647305e-003
8.032762259244919e-002;2.079999976558611e-004;2.079999976558611e-004;5.412000045180321e-002;7.588974386453629e-002;1.667355932295322e-002;2.052788436412811e-002;5.368665978312492e-002;4.389813914895058e-002
8.034029603004456e-002;2.083333383779973e-004;2.083333383779973e-004;5.412000045180321e-002;7.224651426076889e-002;1.755008101463318e-002;1.702432706952095e-002;6.496115028858185e-002;3.080785647034645e-002
8.040889352560043e-002;2.086666645482183e-004;2.086666645482183e-004;5.412000045180321e-002;6.077804788947105e-002;1.73032321035862e-002;1.088663097470999e-002;6.645120214670897e-003;1.416715793311596e-002
8.060798794031143e-002;2.090000052703545e-004;2.090000052703545e-004;5.412000045180321e-002;6.199231743812561e-002;1.529537234455347e-002;9.156974963843823e-003;1.603332930244505e-003;3.97842563688755e-003
8.0766461789608e-002;2.093333314405754e-004;2.093333314405754e-004;5.412000045180321e-002;5.340743437409401e-002;1.090130675584078e-002;9.051678702235222e-003;1.078600995242596e-003;3.095766296610236e-003
8.099555969238281e-002;2.096666721627116e-004;2.096666721627116e-004;5.412000045180321e-002;5.639571323990822e-002;1.412550359964371e-002;1.05176167562604e-002;6.089266389608383e-004;3.172239754348993e-003
8.111255615949631e-002;2.099999983329326e-004;2.099999983329326e-004;5.412000045180321e-002;5.369948223233223e-002;9.26876999437809e-003;9.516175836324692e-003;9.921137243509293e-004;2.839994849637151e-003
8.137915283441544e-002;2.103333390550688e-004;2.103333390550688e-004;5.412000045180321e-002;7.621272653341293e-002;1.604858227074146e-002;1.70485433191061e-002;3.240435943007469e-002;1.752497255802155e-002
8.149414509534836e-002;2.106666652252898e-004;2.106666652252898e-004;5.412000045180321e-002;6.936293095350266e-002;1.951328106224537e-002;1.91069208085537e-002;5.888970941305161e-002;2.678701095283032e-002
8.154779672622681e-002;2.11000005947426e-004;2.11000005947426e-004;5.412000045180321e-002;8.160226047039032e-002;1.774923130869865e-002;1.963769644498825e-002;5.005541443824768e-002;1.500731147825718e-002
8.176765590906143e-002;2.113333321176469e-004;2.113333321176469e-004;5.412000045180321e-002;4.852799698710442e-002;1.000551972538233e-002;9.678716771304607e-003;4.655626835301518e-004;3.787128953263164e-003
8.212998509407044e-002;2.123333397321403e-004;2.123333397321403e-004;5.412000045180321e-002;4.87181544303894e-002;1.068023964762688e-002;9.255700744688511e-003;5.929222679696977e-004;2.308564959093928e-003
8.229686319828033e-002;2.126666659023613e-004;2.126666659023613e-004;5.412000045180321e-002;6.215722113847733e-002;1.286823302507401e-002;9.033416397869587e-003;8.441677782684565e-004;2.817342290654779e-003
8.297929167747498e-002;2.133333327947184e-004;2.133333327947184e-004;5.659999698400497e-002;5.460740625858307e-002;9.258046746253967e-003;9.469060227274895e-003;2.131410641595721e-003;5.921368021517992e-003
8.313761651515961e-002;2.136666589649394e-004;2.136666589649394e-004;5.659999698400497e-002;5.27489185333252e-002;9.352737106382847e-003;8.962442167103291e-003;6.986811058595777e-004;1.826080610044301e-003
8.323425054550171e-002;2.146666665794328e-004;2.146666665794328e-004;5.659999698400497e-002;5.853051692247391e-002;9.861377067863941e-003;9.748281911015511e-003;1.846684608608484e-003;4.596776328980923e-003
8.37383046746254e-002;2.156666596420109e-004;2.156666596420109e-004;5.659999698400497e-002;7.06397220492363e-002;1.451914291828871e-002;1.467572711408138e-002;3.71008962392807e-002;1.23683325946331e-002
8.39175209403038e-002;2.160000003641471e-004;2.160000003641471e-004;5.659999698400497e-002;7.405763119459152e-002;1.542835030704737e-002;2.095279283821583e-002;7.417645305395126e-002;0.1417063176631928
8.40122252702713e-002;2.163333265343681e-004;2.163333265343681e-004;5.659999698400497e-002;5.309358239173889e-002;9.975574910640717e-003;9.801890701055527e-003;3.205507528036833e-004;1.890995772555471e-003
8.404454588890076e-002;2.166666672565043e-004;2.166666672565043e-004;5.659999698400497e-002;7.736659049987793e-002;1.83312613517046e-002;1.895548775792122e-002;3.429053351283073e-002;2.675714157521725e-002
8.4097720682621e-002;2.173333341488615e-004;2.173333341488615e-004;5.659999698400497e-002;6.673315912485123e-002;1.930137537419796e-002;9.51780378818512e-003;1.549321343190968e-003;4.760069772601128e-003
8.42115730047226e-002;2.176666603190824e-004;2.176666603190824e-004;5.659999698400497e-002;4.82233539223671e-002;1.023030932992697e-002;9.776646271348e-003;8.766790851950645e-004;3.422984154894948e-003
8.454905450344086e-002;2.189999941037968e-004;2.189999941037968e-004;5.659999698400497e-002;6.132934987545013e-002;1.104096136987209e-002;9.447433054447174e-003;1.284714788198471e-003;2.174952765926719e-003
8.465827256441116e-002;2.19333334825933e-004;2.19333334825933e-004;5.659999698400497e-002;5.751141905784607e-002;1.142373494803906e-002;9.323353879153729e-003;9.069119696505368e-004;2.257580170407891e-003
8.467883616685867e-002;2.19666660996154e-004;2.19666660996154e-004;5.659999698400497e-002;7.202283293008804e-002;1.663575507700443e-002;1.404776982963085e-002;5.426597967743874e-002;1.04885759355966e-004
8.476459234952927e-002;2.200000017182902e-004;2.200000017182902e-004;5.659999698400497e-002;6.527082622051239e-002;1.44548024982214e-002;1.161537319421768e-002;1.299084257334471e-002;1.204031985253096e-002
8.487335592508316e-002;2.203333278885111e-004;2.203333278885111e-004;5.659999698400497e-002;5.995981022715569e-002;1.261164620518684e-002;1.524932961910963e-002;2.780034951865673e-002;1.149782724678516e-002
8.51476714015007e-002;2.213333355030045e-004;2.213333355030045e-004;5.659999698400497e-002;6.272129714488983e-002;1.13654313609004e-002;1.25073678791523e-002;1.527873892337084e-002;3.010302549228072e-003
8.524969965219498e-002;2.216666616732255e-004;2.216666616732255e-004;5.659999698400497e-002;4.921960085630417e-002;1.099087949842215e-002;9.374638088047504e-003;8.519347757101059e-004;2.243351889774203e-003
8.533419668674469e-002;2.220000023953617e-004;2.220000023953617e-004;5.659999698400497e-002;7.431745529174805e-002;1.649613305926323e-002;9.771592915058136e-003;7.620355114340782e-003;5.034544970840216e-003
8.535463362932205e-002;2.223333285655826e-004;2.223333285655826e-004;5.659999698400497e-002;5.618744343519211e-002;1.297394279390574e-002;9.265982545912266e-003;1.375930733047426e-003;2.220825525000691e-003
8.556593954563141e-002;2.226666692877188e-004;2.226666692877188e-004;5.827999860048294e-002;8.15458744764328e-002;1.681352593004704e-002;1.775084435939789e-002;5.651041492819786e-002;3.461381420493126e-002
8.614884316921234e-002;2.229999954579398e-004;2.229999954579398e-004;5.827999860048294e-002;6.378314644098282e-002;1.352599635720253e-002;1.842053793370724e-002;4.974286630749703e-002;2.171364426612854e-002
8.633466809988022e-002;2.23333336180076e-004;2.23333336180076e-004;5.827999860048294e-002;6.004446744918823e-002;1.126151811331511e-002;9.638498537242413e-003;1.297331065870822e-003;4.326432943344116e-003
8.633605390787125e-002;2.23666662350297e-004;2.23666662350297e-004;5.827999860048294e-002;7.471119612455368e-002;1.730106957256794e-002;1.817828416824341e-002;6.958713382482529e-002;9.253113716840744e-002
8.637937158346176e-002;2.240000030724332e-004;2.240000030724332e-004;5.827999860048294e-002;5.238910019397736e-002;1.214639935642481e-002;9.16756596416235e-003;1.045498764142394e-003;1.601647352799773e-003
8.731451630592346e-002;2.253333368571475e-004;2.253333368571475e-004;5.827999860048294e-002;6.677524000406265e-002;1.65803711861372e-002;1.328829675912857e-002;2.587104588747025e-002;8.113169111311436e-003
8.7382011115551e-002;2.256666630273685e-004;2.256666630273685e-004;5.827999860048294e-002;6.162495538592339e-002;1.403397880494595e-002;9.955880232155323e-003;4.179502371698618e-003;5.295148584991694e-003
8.74902531504631e-002;2.260000037495047e-004;2.260000037495047e-004;5.827999860048294e-002;7.535524666309357e-002;1.650013774633408e-002;1.241052336990833e-002;2.599749900400639e-002;1.150678843259811e-002
8.764144033193588e-002;2.263333299197257e-004;2.263333299197257e-004;5.827999860048294e-002;5.430546030402184e-002;1.129117608070374e-002;8.790574036538601e-003;2.161620184779167e-003;4.023911897093058e-003
8.770746737718582e-002;2.266666706418619e-004;2.266666706418619e-004;5.827999860048294e-002;7.170216739177704e-002;1.554155629128218e-002;1.809035427868366e-002;4.773516580462456e-002;2.816088311374188e-002
8.801679313182831e-002;2.269999968120828e-004;2.269999968120828e-004;5.827999860048294e-002;5.380719527602196e-002;1.238210126757622e-002;9.482203051447868e-003;9.936153655871749e-004;4.268140532076359e-003
8.804864436388016e-002;2.27333337534219e-004;2.27333337534219e-004;5.827999860048294e-002;5.010780319571495e-002;1.30250034853816e-002;9.682084433734417e-003;4.035657737404108e-003;6.183561868965626e-003
8.829411864280701e-002;2.280000044265762e-004;2.280000044265762e-004;5.827999860048294e-002;8.303356915712357e-002;1.582345366477966e-002;1.915300078690052e-002;7.039473950862885e-002;2.095446363091469e-002
8.837738633155823e-002;2.283333305967972e-004;2.283333305967972e-004;5.996000021696091e-002;8.274690806865692e-002;1.565538719296455e-002;1.879196800291538e-002;5.600614845752716e-002;5.2044577896595e-002
